application_id,customer_id,dealer_code,vin,product_type,requested_amount,application_date,channel,credit_decision,approved_amount,decision_date
APP000058,C000020,D0005,2TP8ZR5W0VSUX0129,LOAN,58030,2025-09-07,DEALER,APPROVED,58030,2025-09-13
APP000059,C000125,D0018,2TPJRWPH0KCS50041,LEASE,55754,2025-04-21,DEALER,APPROVED,55754,2025-04-22
APP000060,C000072,D0038,2TWFDU18B115C0197,LOAN,32714,2025-10-18,DEALER,DECLINED,0,2025-10-25
APP000061,C000014,D0043,2TCZBYTPBY44D0157,LOAN,49897,2024-01-13,BRANCH,APPROVED,49897,2024-01-20
APP000062,C000119,D0028,2TTL16SJAUUFS0294,LEASE,50046,2024-08-11,ONLINE,DECLINED,0,2024-08-18
APP000063,C000069,D0043,2TAHWXTM56B5A0129,LEASE,38704,2023-03-21,DEALER,APPROVED,38704,2023-03-27
APP000064,C000056,D0027,2TFUXE5MTUT8J0030,LOAN,51477,2025-09-10,BRANCH,APPROVED,51477,2025-09-13
APP000065,C000013,D0015,2TCM95XCRDTTB0059,LEASE,57990,2023-10-28,BRANCH,DECLINED,0,2023-10-29
APP000066,C000020,D0033,2TH9ESPX03E4V0228,LOAN,22154,2026-05-14,DEALER,APPROVED,22154,2026-05-20
APP000067,C000230,D0042,2T7VBL0CVKBGP0192,LEASE,41747,2025-01-07,BRANCH,APPROVED,41747,2025-01-16
APP000068,C000097,D0054,2TCK1FER93HD70299,LEASE,29081,2026-04-05,ONLINE,APPROVED,29081,2026-04-10
APP000069,C000234,D0016,2TS0R6XHS530F0169,LEASE,34206,2024-02-04,BRANCH,DECLINED,0,2024-02-13
APP000070,C000124,D0039,2T53RJS3JTVYX0118,LOAN,57816,2023-06-06,DEALER,DECLINED,0,2023-06-13
APP000071,C000148,D0032,2TNM6ALH3T7GJ0324,LOAN,24725,2025-05-12,ONLINE,APPROVED,24725,2025-05-13
APP000072,C000132,D0056,2T14ZJ2SVHYYG0272,LOAN,23675,2023-12-08,DEALER,DECLINED,0,2023-12-14
APP000073,C000116,D0048,2TV7JM9FKA0610224,LEASE,56342,2025-07-08,ONLINE,DECLINED,0,2025-07-11
APP000074,C000242,D0050,2TRW8YD94VX1X0050,LOAN,33304,2025-11-07,DEALER,APPROVED,33304,2025-11-08
APP000075,C000148,D0057,2TXGZVLHVU85R0316,LOAN,33235,2024-03-07,ONLINE,APPROVED,33235,2024-03-12
APP000076,C000072,D0010,2TP9LBCNA8B0P0050,LEASE,58675,2023-08-06,BRANCH,DECLINED,0,2023-08-13
APP000077,C000117,D0019,2TH548TFJUHZF0057,LOAN,69462,2025-06-30,BRANCH,APPROVED,69462,2025-07-02
APP000078,C000071,D0030,2T9EXC4GXNCAS0323,LOAN,36976,2024-10-31,BRANCH,APPROVED,36976,2024-11-07
APP000079,C000121,D0010,2TM8VJNFPA4E80249,LOAN,32385,2024-03-26,BRANCH,APPROVED,32385,2024-03-29
APP000080,C000158,D0025,2TSZ7MWRV882Z0324,LEASE,32240,2023-03-21,ONLINE,APPROVED,32240,2023-03-23
APP000081,C000230,D0049,2T35XS4HM6XHZ0148,LEASE,72730,2024-03-24,BRANCH,APPROVED,72730,2024-03-27
APP000082,C000126,D0039,2TSBVU9P3DXTX0211,LEASE,71623,2025-09-17,ONLINE,DECLINED,0,2025-09-25
APP000083,C000014,D0018,2TRYCW53RLPHY0249,LOAN,74792,2025-05-20,BRANCH,APPROVED,74792,2025-05-29
APP000084,C000206,D0025,2TYZEDP0NL2RV0047,LOAN,16383,2023-02-10,ONLINE,DECLINED,0,2023-02-16
APP000085,C000064,D0001,2TBG928CLVWBR0019,LOAN,63059,2025-04-26,DEALER,APPROVED,63059,2025-05-01
APP000086,C000168,D0026,2TUFEE93BAKG20068,LOAN,39763,2023-09-11,BRANCH,DECLINED,0,2023-09-16
APP000087,C000006,D0020,2T6NGT71V4FR30141,LEASE,63724,2024-10-24,ONLINE,APPROVED,63724,2024-10-29
APP000088,C000005,D0032,2T0G5RB2R507G0202,LEASE,40061,2025-12-28,ONLINE,APPROVED,40061,2025-12-31
APP000089,C000054,D0056,2TSFK27RD8T3W0251,LEASE,26092,2023-06-21,DEALER,APPROVED,26092,2023-06-22
APP000090,C000105,D0056,2TUP88XSX679F0003,LOAN,54238,2024-10-20,ONLINE,APPROVED,54238,2024-10-22
APP000091,C000042,D0034,2TLN5HC48L8J30063,LEASE,15892,2025-02-08,DEALER,APPROVED,15892,2025-02-13
APP000092,C000185,D0060,2TUX0LKVP0T760347,LOAN,34282,2023-08-29,ONLINE,APPROVED,34282,2023-09-01
APP000093,C000122,D0001,2T3MK7EAWNNG60163,LEASE,69356,2023-12-03,DEALER,APPROVED,69356,2023-12-04
APP000094,C000090,D0041,2TRZANUV4W02T0287,LOAN,19375,2025-08-17,DEALER,APPROVED,19375,2025-08-20
APP000095,C000046,D0017,2TGJ1YU7PLARP0289,LOAN,33349,2023-07-30,BRANCH,APPROVED,33349,2023-08-02
APP000096,C000001,D0021,2TDJ9547XW9HS0040,LEASE,72318,2023-10-21,ONLINE,APPROVED,72318,2023-10-28
APP000097,C000134,D0021,2TFPLUK458TH40272,LEASE,69961,2025-08-29,DEALER,APPROVED,69961,2025-08-30
APP000098,C000172,D0023,2TPN10MAN50NA0218,LEASE,65511,2025-01-18,ONLINE,DECLINED,0,2025-01-20
APP000099,C000236,D0001,2TUCU72CTUDB70311,LEASE,47951,2025-01-25,ONLINE,DECLINED,0,2025-01-28
APP000100,C000193,D0035,2TC0BKMJF3HD50054,LOAN,57437,2025-08-27,ONLINE,APPROVED,57437,2025-08-29
APP000101,C000050,D0042,2TBYXL0A23DEN0315,LOAN,70874,2026-01-19,BRANCH,APPROVED,70874,2026-01-24
APP000102,C000071,D0039,2T93MAWUZHY6F0102,LEASE,17916,2023-06-21,DEALER,APPROVED,17916,2023-06-23
APP000103,C000048,D0021,2TBLAP06FSWNJ0303,LEASE,20663,2023-07-05,DEALER,APPROVED,20663,2023-07-12
APP000104,C000145,D0021,2TRNUNMVT5TF80212,LEASE,24202,2024-08-10,BRANCH,APPROVED,24202,2024-08-16
APP000105,C000116,D0054,2TLC1KP4ZVPY90324,LEASE,49278,2024-12-15,DEALER,APPROVED,49278,2024-12-24
APP000106,C000067,D0003,2TM7J6X01CXGZ0060,LOAN,45650,2024-03-07,DEALER,APPROVED,45650,2024-03-14
APP000107,C000232,D0007,2TZWL6MB564270096,LOAN,57459,2025-08-31,ONLINE,APPROVED,57459,2025-09-06
APP000108,C000103,D0020,2TR9G34U2BL9L0021,LEASE,59469,2026-05-15,BRANCH,APPROVED,59469,2026-05-24
APP000109,C000193,D0009,2TYDFWKZ62L6A0067,LOAN,52223,2024-02-11,DEALER,DECLINED,0,2024-02-14
APP000110,C000061,D0055,2T4FSK0A7LZG70105,LEASE,27097,2024-09-09,BRANCH,APPROVED,27097,2024-09-13
APP000111,C000119,D0046,2TG1JXJ2XV42E0125,LEASE,69483,2025-08-25,ONLINE,APPROVED,69483,2025-08-26
APP000112,C000197,D0016,2T0Y9A2ERJ8NC0189,LOAN,26675,2024-03-30,ONLINE,DECLINED,0,2024-04-06
APP000113,C000047,D0028,2TVW17CT3ML2G0078,LEASE,57863,2023-07-10,DEALER,APPROVED,57863,2023-07-16
APP000114,C000206,D0052,2TLXJ916A824D0007,LEASE,41507,2023-07-27,ONLINE,APPROVED,41507,2023-08-01
APP000115,C000233,D0029,2T07Y0HM41FKA0258,LEASE,67587,2023-08-26,BRANCH,APPROVED,67587,2023-08-31
APP000116,C000187,D0056,2T4D6VCH860D00233,LEASE,55273,2024-02-09,ONLINE,APPROVED,55273,2024-02-15
APP000117,C000139,D0018,2TVZ3B5XWCHZC0092,LEASE,16542,2024-08-29,DEALER,APPROVED,16542,2024-09-01
APP000118,C000187,D0010,2T84UZ6S6CEX00325,LOAN,23261,2023-06-22,DEALER,APPROVED,23261,2023-06-24
APP000119,C000021,D0022,2TW42BMTF4HNT0327,LEASE,62539,2025-02-21,BRANCH,APPROVED,62539,2025-03-02
APP000120,C000178,D0052,2T07P4UMU9C2M0026,LEASE,30974,2026-01-09,ONLINE,DECLINED,0,2026-01-10
APP000121,C000107,D0043,2TUU6XGRRBXRE0067,LEASE,66252,2025-04-13,BRANCH,APPROVED,66252,2025-04-21
APP000122,C000085,D0035,2T7AYYXZ5K68P0200,LOAN,54009,2026-04-19,BRANCH,APPROVED,54009,2026-04-26
APP000123,C000219,D0037,2T8ZFP0WVX56B0041,LOAN,58299,2024-06-07,BRANCH,APPROVED,58299,2024-06-10
APP000124,C000196,D0002,2T8S1J1HG2PPH0146,LEASE,42223,2024-12-21,DEALER,APPROVED,42223,2024-12-24
APP000125,C000193,D0014,2TUX0GX92R2860215,LEASE,38070,2025-04-01,ONLINE,APPROVED,38070,2025-04-04
APP000126,C000137,D0054,2T6MG1333NBRJ0172,LOAN,15218,2023-12-30,BRANCH,APPROVED,15218,2024-01-06
APP000127,C000043,D0037,2T7F0B19NL60S0321,LOAN,31380,2023-02-16,ONLINE,APPROVED,31380,2023-02-20
APP000128,C000229,D0002,2T66S5SM69HYL0106,LOAN,19247,2024-10-22,ONLINE,APPROVED,19247,2024-10-24
APP000129,C000174,D0027,2T71E3THB57DV0267,LEASE,59697,2023-01-15,BRANCH,APPROVED,59697,2023-01-16
APP000130,C000162,D0042,2T4HGKTHL03YK0226,LOAN,48525,2025-01-14,ONLINE,APPROVED,48525,2025-01-18
APP000131,C000178,D0005,2T8STYV5Y5TUC0235,LOAN,57076,2024-06-25,DEALER,APPROVED,57076,2024-07-04
APP000132,C000095,D0037,2TVWLW75VKJKV0186,LEASE,72682,2024-08-13,ONLINE,APPROVED,72682,2024-08-17
APP000133,C000078,D0010,2TAT0927LZK9X0300,LEASE,53222,2023-02-27,ONLINE,DECLINED,0,2023-03-07
APP000134,C000045,D0031,2TAEYRWPRKUHN0195,LEASE,46591,2023-12-13,ONLINE,DECLINED,0,2023-12-21
APP000135,C000004,D0054,2TRN0C2GY9EUF0269,LOAN,74395,2026-03-12,ONLINE,DECLINED,0,2026-03-21
APP000136,C000190,D0012,2TSR6MCUUFNEJ0334,LEASE,67249,2024-05-22,DEALER,APPROVED,67249,2024-05-26
APP000137,C000149,D0031,2TGDXEN7H5F7N0238,LOAN,64917,2024-04-11,BRANCH,APPROVED,64917,2024-04-15
APP000138,C000003,D0038,2TH5N6AT3U8MY0221,LEASE,52311,2026-05-10,BRANCH,APPROVED,52311,2026-05-15
APP000139,C000064,D0022,2T9W5HM8AX9780141,LOAN,49877,2024-09-05,DEALER,APPROVED,49877,2024-09-07
APP000140,C000237,D0056,2TYMNGRPW9WX70227,LOAN,21197,2025-06-03,BRANCH,APPROVED,21197,2025-06-08
APP000141,C000083,D0011,2T2LLLX73URT70099,LEASE,25131,2024-03-06,ONLINE,APPROVED,25131,2024-03-09
APP000142,C000213,D0048,2T5W423A2D3ZJ0162,LEASE,38195,2024-09-19,ONLINE,APPROVED,38195,2024-09-20
APP000143,C000066,D0019,2TBX41XNP95UG0192,LOAN,61967,2024-02-19,DEALER,APPROVED,61967,2024-02-22
APP000144,C000152,D0031,2T18SU1DGDYU00024,LEASE,62268,2024-10-28,ONLINE,APPROVED,62268,2024-10-30
APP000145,C000019,D0021,2TKKWNF5SXTVB0212,LOAN,64140,2025-08-24,DEALER,APPROVED,64140,2025-08-30
APP000146,C000192,D0057,2TMX6R60YNTTB0110,LOAN,44218,2025-01-09,DEALER,DECLINED,0,2025-01-16
APP000147,C000205,D0004,2TD90B4C9X8VY0271,LOAN,46873,2025-05-25,BRANCH,APPROVED,46873,2025-05-27
APP000148,C000200,D0008,2TL9F6NE4U65K0273,LEASE,51588,2026-03-03,DEALER,APPROVED,51588,2026-03-06
APP000149,C000200,D0045,2TB2VA1BARX4K0222,LEASE,49584,2026-03-24,DEALER,APPROVED,49584,2026-03-30
APP000150,C000052,D0050,2TZKNKPWMGBCJ0295,LEASE,58607,2025-12-26,DEALER,APPROVED,58607,2026-01-01
APP000151,C000054,D0013,2TL4URPZBJ5H10156,LOAN,58133,2024-10-07,ONLINE,DECLINED,0,2024-10-11
APP000152,C000103,D0013,2T1HFM9HLPH8Z0106,LEASE,43740,2025-02-18,ONLINE,APPROVED,43740,2025-02-22
APP000153,C000130,D0024,2TT9H6BA132GZ0245,LEASE,67415,2024-03-06,ONLINE,DECLINED,0,2024-03-08
APP000154,C000077,D0015,2T17BUXCKSMAJ0044,LOAN,57729,2025-06-08,DEALER,DECLINED,0,2025-06-16
APP000155,C000054,D0056,2TV03L3MMKM0H0339,LOAN,67584,2023-03-21,DEALER,APPROVED,67584,2023-03-29
APP000156,C000096,D0059,2TXBBYB7CK3C10136,LOAN,55980,2024-02-22,DEALER,APPROVED,55980,2024-02-24
APP000157,C000024,D0027,2TH7635JAW77T0034,LOAN,29594,2023-01-31,ONLINE,APPROVED,29594,2023-02-09
APP000158,C000184,D0007,2T8NJR9JKRFG20245,LEASE,58806,2025-01-18,BRANCH,DECLINED,0,2025-01-20
APP000159,C000187,D0043,2TY6UJX40KC1D0155,LOAN,27099,2024-05-26,DEALER,APPROVED,27099,2024-05-27
APP000160,C000204,D0016,2T2XA77ZN25P60083,LEASE,69747,2023-10-20,BRANCH,APPROVED,69747,2023-10-28
APP000161,C000197,D0033,2TYMTY86GYTE00173,LEASE,57956,2023-08-30,BRANCH,APPROVED,57956,2023-08-31
APP000162,C000250,D0030,2THVJZW54F9M20057,LOAN,29884,2026-01-17,DEALER,APPROVED,29884,2026-01-21
APP000163,C000091,D0034,2TKD0RL0LGLRK0308,LEASE,63797,2023-02-04,DEALER,APPROVED,63797,2023-02-09
APP000164,C000076,D0025,2T376XJWAETWP0268,LOAN,41271,2023-04-11,DEALER,DECLINED,0,2023-04-18
APP000165,C000042,D0049,2T2L32NSZERUJ0125,LEASE,68899,2023-10-15,DEALER,APPROVED,68899,2023-10-18
APP000166,C000071,D0049,2TAHWG7R5WH6K0168,LOAN,59055,2024-02-26,BRANCH,APPROVED,59055,2024-03-03
APP000167,C000098,D0054,2TH64L8VRGF0S0131,LEASE,17685,2024-07-11,BRANCH,DECLINED,0,2024-07-18
APP000168,C000222,D0050,2TUT9Y3TZFAG80144,LOAN,21893,2025-05-13,BRANCH,APPROVED,21893,2025-05-21
APP000169,C000069,D0007,2T11CGGGHS0320250,LOAN,58622,2024-03-29,ONLINE,APPROVED,58622,2024-04-06
APP000170,C000010,D0026,2T4BPMBYGV3B60322,LEASE,49259,2025-08-01,ONLINE,APPROVED,49259,2025-08-07
APP000171,C000071,D0029,2TX6TLPX2ZM8F0025,LEASE,31298,2024-12-22,ONLINE,DECLINED,0,2024-12-31
APP000172,C000026,D0059,2T2X8M1NT8ZY50047,LEASE,35043,2024-04-11,DEALER,APPROVED,35043,2024-04-14
APP000173,C000149,D0020,2TVM2ENFF2TKY0260,LEASE,27438,2024-10-23,ONLINE,APPROVED,27438,2024-10-26
APP000174,C000209,D0057,2TFXR5CSKUB8R0151,LOAN,63253,2025-02-27,DEALER,APPROVED,63253,2025-03-03
APP000175,C000038,D0001,2TSB753N3M21T0152,LEASE,29153,2025-06-20,ONLINE,APPROVED,29153,2025-06-27
APP000176,C000082,D0035,2TEJXSJG97XGR0183,LEASE,30381,2025-01-28,BRANCH,APPROVED,30381,2025-02-06
APP000177,C000215,D0004,2T584ELB5DZ7K0236,LOAN,52634,2024-04-03,BRANCH,APPROVED,52634,2024-04-09
APP000178,C000146,D0017,2T84J2P5WWYR90015,LEASE,33093,2023-05-14,DEALER,DECLINED,0,2023-05-23
APP000179,C000249,D0040,2TZHEE3LNSMMB0028,LEASE,15444,2026-04-16,BRANCH,APPROVED,15444,2026-04-18
APP000180,C000147,D0045,2T317JYMGWZM40199,LEASE,41447,2024-11-10,ONLINE,APPROVED,41447,2024-11-12
APP000181,C000059,D0023,2TFY5GTBDD0GL0332,LOAN,28146,2024-01-13,BRANCH,APPROVED,28146,2024-01-14
APP000182,C000008,D0052,2T0EMN8MPZGK00291,LOAN,35071,2023-01-10,ONLINE,APPROVED,35071,2023-01-13
APP000183,C000114,D0002,2TCHWVGZMLG8N0319,LOAN,68673,2025-11-05,BRANCH,APPROVED,68673,2025-11-11
APP000184,C000213,D0025,2THEYS0KS8N2C0230,LEASE,50912,2025-07-20,DEALER,DECLINED,0,2025-07-28
APP000185,C000024,D0043,2TX2NVXJ5NV420336,LEASE,49068,2026-04-25,ONLINE,APPROVED,49068,2026-04-27
APP000186,C000083,D0036,2T1W8VDCNFWMX0248,LOAN,21836,2025-10-01,BRANCH,APPROVED,21836,2025-10-02
APP000187,C000049,D0023,2TD49M90CPG6M0276,LOAN,40224,2023-04-07,BRANCH,DECLINED,0,2023-04-13
APP000188,C000053,D0037,2TAC1PHVASYM10328,LOAN,47458,2023-05-30,ONLINE,APPROVED,47458,2023-06-06
APP000189,C000064,D0040,2TT4WPU3A331U0343,LOAN,54239,2023-04-02,ONLINE,APPROVED,54239,2023-04-07
APP000190,C000102,D0003,2TJREHHL8EMXL0230,LEASE,60385,2026-05-14,BRANCH,APPROVED,60385,2026-05-21
APP000191,C000220,D0037,2TGH2NF8NJC770134,LOAN,33658,2024-08-06,DEALER,APPROVED,33658,2024-08-10
APP000192,C000022,D0049,2TS405K5C9NPX0035,LOAN,27089,2023-03-19,BRANCH,DECLINED,0,2023-03-20
APP000193,C000236,D0012,2T6ND21KV9ERM0180,LOAN,31436,2023-11-09,ONLINE,APPROVED,31436,2023-11-17
APP000194,C000216,D0016,2TVLKXDHE3BLX0309,LEASE,19547,2023-02-21,DEALER,DECLINED,0,2023-02-24
APP000195,C000098,D0001,2TD1HRCEB71V10289,LEASE,15386,2023-08-01,BRANCH,APPROVED,15386,2023-08-05
APP000196,C000163,D0030,2TK60RKVM1TL00246,LOAN,37619,2025-10-01,ONLINE,APPROVED,37619,2025-10-06
APP000197,C000182,D0057,2TR2JZP2336550278,LEASE,41894,2023-10-22,ONLINE,APPROVED,41894,2023-10-28
APP000198,C000035,D0047,2TPSPNN0630WP0272,LEASE,41141,2024-11-22,DEALER,APPROVED,41141,2024-11-30
APP000199,C000077,D0058,2T3DNPYL14M5B0320,LOAN,44643,2023-08-11,ONLINE,APPROVED,44643,2023-08-14
APP000200,C000145,D0050,2T2NK3X6SJ8XC0080,LOAN,59605,2024-07-13,DEALER,DECLINED,0,2024-07-15
APP000201,C000223,D0004,2TFXZNKPWE0X50170,LEASE,71508,2023-02-13,ONLINE,APPROVED,71508,2023-02-16
APP000202,C000144,D0011,2TL3H3L7USHK50078,LOAN,67581,2024-08-16,DEALER,APPROVED,67581,2024-08-19
APP000203,C000044,D0050,2T05M5B8ZYF0E0011,LOAN,46252,2025-02-19,DEALER,APPROVED,46252,2025-02-24
APP000204,C000240,D0051,2TNXVFZ8B3L0T0343,LOAN,22272,2025-03-17,BRANCH,DECLINED,0,2025-03-22
APP000205,C000126,D0021,2TDSWT54YCU6F0086,LEASE,16536,2025-12-01,BRANCH,DECLINED,0,2025-12-02
APP000206,C000003,D0048,2TBW1N711CU1Y0294,LEASE,55905,2023-09-25,BRANCH,DECLINED,0,2023-10-02
APP000207,C000242,D0023,2TN8VUF5FX9HB0134,LOAN,23673,2025-04-13,DEALER,APPROVED,23673,2025-04-17
APP000208,C000040,D0037,2TFEAAYEK6YGH0122,LOAN,19257,2023-06-02,BRANCH,APPROVED,19257,2023-06-05
APP000209,C000048,D0006,2TA4RPDF1XN7N0047,LEASE,20318,2024-02-13,BRANCH,DECLINED,0,2024-02-16
APP000210,C000152,D0056,2T5M9AFMNTKNH0032,LOAN,59312,2025-08-18,DEALER,APPROVED,59312,2025-08-21
APP000211,C000042,D0026,2TV39VP4TZSAT0326,LEASE,29923,2024-10-20,DEALER,APPROVED,29923,2024-10-22
APP000212,C000232,D0047,2T4F5AFX0ETX50031,LEASE,37559,2023-05-07,BRANCH,APPROVED,37559,2023-05-15
APP000213,C000126,D0021,2TNRLCZ366X260280,LEASE,65031,2025-01-28,ONLINE,APPROVED,65031,2025-01-31
APP000214,C000108,D0002,2TX1K20A4MKMP0072,LOAN,40268,2023-10-18,DEALER,APPROVED,40268,2023-10-25
APP000215,C000051,D0002,2T2LWURN8844L0255,LEASE,37106,2025-08-25,BRANCH,APPROVED,37106,2025-08-26
