contract_number,status_date,contract_status,delinquency_bucket,outstanding_balance
CTR000004,2023-05-01,ACTIVE,CURRENT,38456.92
CTR000004,2023-06-01,ACTIVE,CURRENT,37291.56
CTR000004,2023-07-01,ACTIVE,CURRENT,36126.19
CTR000004,2023-08-01,ACTIVE,CURRENT,34960.83
CTR000004,2023-09-01,ACTIVE,CURRENT,33795.47
CTR000004,2023-10-01,ACTIVE,CURRENT,32630.11
CTR000004,2023-11-01,ACTIVE,CURRENT,31464.75
CTR000004,2023-12-01,ACTIVE,CURRENT,30299.39
CTR000004,2024-01-01,ACTIVE,CURRENT,29134.03
CTR000004,2024-02-01,ACTIVE,CURRENT,27968.67
CTR000004,2024-03-01,DELINQUENT,61-90,26803.31
CTR000004,2024-04-01,ACTIVE,CURRENT,25637.94
CTR000004,2024-05-01,ACTIVE,CURRENT,24472.58
CTR000004,2024-06-01,DELINQUENT,61-90,23307.22
CTR000004,2024-07-01,ACTIVE,CURRENT,22141.86
CTR000004,2024-08-01,ACTIVE,CURRENT,20976.5
CTR000004,2024-09-01,DELINQUENT,1-30,19811.14
CTR000004,2024-10-01,ACTIVE,CURRENT,18645.78
CTR000004,2024-11-01,ACTIVE,CURRENT,17480.42
CTR000004,2024-12-01,ACTIVE,CURRENT,16315.06
CTR000004,2025-01-01,ACTIVE,CURRENT,15149.69
CTR000005,2023-02-05,ACTIVE,CURRENT,66806.0
CTR000005,2023-03-01,DELINQUENT,31-60,65414.21
CTR000005,2023-04-01,ACTIVE,CURRENT,64022.42
CTR000005,2023-05-01,ACTIVE,CURRENT,62630.63
CTR000005,2023-06-01,ACTIVE,CURRENT,61238.83
CTR000005,2023-07-01,ACTIVE,CURRENT,59847.04
CTR000005,2023-08-01,ACTIVE,CURRENT,58455.25
CTR000005,2023-09-01,ACTIVE,CURRENT,57063.46
CTR000005,2023-10-01,DELINQUENT,31-60,55671.67
CTR000005,2023-11-01,ACTIVE,CURRENT,54279.88
CTR000005,2023-12-01,DELINQUENT,1-30,52888.08
CTR000005,2024-01-01,ACTIVE,CURRENT,51496.29
CTR000005,2024-02-01,DELINQUENT,31-60,50104.5
CTR000005,2024-03-01,ACTIVE,CURRENT,48712.71
CTR000005,2024-04-01,ACTIVE,CURRENT,47320.92
CTR000005,2024-05-01,ACTIVE,CURRENT,45929.13
CTR000005,2024-06-01,ACTIVE,CURRENT,44537.33
CTR000005,2024-07-01,ACTIVE,CURRENT,43145.54
CTR000005,2024-08-01,ACTIVE,CURRENT,41753.75
CTR000005,2024-09-01,DELINQUENT,1-30,40361.96
CTR000005,2024-10-01,ACTIVE,CURRENT,38970.17
CTR000005,2024-11-01,DELINQUENT,31-60,37578.38
CTR000005,2024-12-01,ACTIVE,CURRENT,36186.58
CTR000005,2025-01-01,ACTIVE,CURRENT,34794.79
CTR000006,2026-05-17,ACTIVE,CURRENT,55507.0
CTR000007,2024-08-02,ACTIVE,CURRENT,24422.0
CTR000007,2024-09-01,ACTIVE,CURRENT,24082.81
CTR000007,2024-10-01,ACTIVE,CURRENT,23743.61
CTR000007,2024-11-01,ACTIVE,CURRENT,23404.42
CTR000007,2024-12-01,ACTIVE,CURRENT,23065.22
CTR000007,2025-01-01,ACTIVE,CURRENT,22726.03
CTR000007,2025-02-01,ACTIVE,CURRENT,22386.83
CTR000007,2025-03-01,ACTIVE,CURRENT,22047.64
CTR000007,2025-04-01,ACTIVE,CURRENT,21708.44
CTR000007,2025-05-01,DELINQUENT,1-30,21369.25
CTR000007,2025-06-01,ACTIVE,CURRENT,21030.06
CTR000007,2025-07-01,ACTIVE,CURRENT,20690.86
CTR000007,2025-08-01,ACTIVE,CURRENT,20351.67
CTR000007,2025-09-01,ACTIVE,CURRENT,20012.47
CTR000007,2025-10-01,ACTIVE,CURRENT,19673.28
CTR000007,2025-11-01,ACTIVE,CURRENT,19334.08
CTR000007,2025-12-01,DELINQUENT,31-60,18994.89
CTR000007,2026-01-01,ACTIVE,CURRENT,18655.69
CTR000007,2026-02-01,ACTIVE,CURRENT,18316.5
CTR000007,2026-03-01,ACTIVE,CURRENT,17977.31
CTR000007,2026-04-01,ACTIVE,CURRENT,17638.11
CTR000007,2026-05-01,ACTIVE,CURRENT,17298.92
CTR000008,2025-03-22,ACTIVE,CURRENT,67130.0
CTR000008,2025-04-01,ACTIVE,CURRENT,65731.46
CTR000008,2025-05-01,DELINQUENT,61-90,64332.92
CTR000008,2025-06-01,ACTIVE,CURRENT,62934.38
CTR000008,2025-07-01,ACTIVE,CURRENT,61535.83
CTR000008,2025-08-01,ACTIVE,CURRENT,60137.29
CTR000008,2025-09-01,ACTIVE,CURRENT,58738.75
CTR000008,2025-10-01,ACTIVE,CURRENT,57340.21
CTR000008,2025-11-01,ACTIVE,CURRENT,55941.67
CTR000008,2025-12-01,ACTIVE,CURRENT,54543.13
CTR000008,2026-01-01,ACTIVE,CURRENT,53144.58
CTR000008,2026-02-01,ACTIVE,CURRENT,51746.04
CTR000008,2026-03-01,ACTIVE,CURRENT,50347.5
CTR000008,2026-04-01,ACTIVE,CURRENT,48948.96
CTR000008,2026-05-01,ACTIVE,CURRENT,47550.42
CTR000009,2024-11-08,ACTIVE,CURRENT,20468.0
CTR000009,2024-12-01,ACTIVE,CURRENT,19899.44
CTR000009,2025-01-01,ACTIVE,CURRENT,19330.89
CTR000009,2025-02-01,ACTIVE,CURRENT,18762.33
CTR000009,2025-03-01,ACTIVE,CURRENT,18193.78
CTR000009,2025-04-01,ACTIVE,CURRENT,17625.22
CTR000009,2025-05-01,ACTIVE,CURRENT,17056.67
CTR000009,2025-06-01,ACTIVE,CURRENT,16488.11
CTR000009,2025-07-01,ACTIVE,CURRENT,15919.56
CTR000009,2025-08-01,ACTIVE,CURRENT,15351.0
CTR000009,2025-09-01,ACTIVE,CURRENT,14782.44
CTR000009,2025-10-01,ACTIVE,CURRENT,14213.89
CTR000009,2025-11-01,ACTIVE,CURRENT,13645.33
CTR000009,2025-12-01,ACTIVE,CURRENT,13076.78
CTR000009,2026-01-01,DELINQUENT,31-60,12508.22
CTR000009,2026-02-01,ACTIVE,CURRENT,11939.67
CTR000009,2026-03-01,ACTIVE,CURRENT,11371.11
CTR000009,2026-04-01,ACTIVE,CURRENT,10802.56
CTR000009,2026-05-01,ACTIVE,CURRENT,10234.0
CTR000010,2023-12-26,ACTIVE,CURRENT,70445.0
CTR000010,2024-01-01,ACTIVE,CURRENT,68977.4
CTR000010,2024-02-01,ACTIVE,CURRENT,67509.79
CTR000010,2024-03-01,DELINQUENT,61-90,66042.19
CTR000010,2024-04-01,ACTIVE,CURRENT,64574.58
CTR000010,2024-05-01,ACTIVE,CURRENT,63106.98
CTR000010,2024-06-01,ACTIVE,CURRENT,61639.37
CTR000010,2024-07-01,ACTIVE,CURRENT,60171.77
CTR000010,2024-08-01,ACTIVE,CURRENT,58704.17
CTR000010,2024-09-01,ACTIVE,CURRENT,57236.56
CTR000010,2024-10-01,DELINQUENT,61-90,55768.96
CTR000010,2024-11-01,ACTIVE,CURRENT,54301.35
CTR000010,2024-12-01,ACTIVE,CURRENT,52833.75
CTR000010,2025-01-01,ACTIVE,CURRENT,51366.15
CTR000010,2025-02-01,ACTIVE,CURRENT,49898.54
CTR000010,2025-03-01,ACTIVE,CURRENT,48430.94
CTR000010,2025-04-01,ACTIVE,CURRENT,46963.33
CTR000010,2025-05-01,ACTIVE,CURRENT,45495.73
CTR000010,2025-06-01,ACTIVE,CURRENT,44028.13
CTR000010,2025-07-01,ACTIVE,CURRENT,42560.52
CTR000010,2025-08-01,ACTIVE,CURRENT,41092.92
CTR000010,2025-09-01,ACTIVE,CURRENT,39625.31
CTR000010,2025-10-01,ACTIVE,CURRENT,38157.71
CTR000010,2025-11-01,ACTIVE,CURRENT,36690.1
CTR000011,2025-06-11,ACTIVE,CURRENT,38128.0
CTR000011,2025-07-01,DELINQUENT,1-30,37492.53
CTR000011,2025-08-01,ACTIVE,CURRENT,36857.07
CTR000011,2025-09-01,ACTIVE,CURRENT,36221.6
CTR000011,2025-10-01,ACTIVE,CURRENT,35586.13
CTR000011,2025-11-01,ACTIVE,CURRENT,34950.67
CTR000011,2025-12-01,ACTIVE,CURRENT,34315.2
CTR000011,2026-01-01,ACTIVE,CURRENT,33679.73
CTR000011,2026-02-01,ACTIVE,CURRENT,33044.27
CTR000011,2026-03-01,ACTIVE,CURRENT,32408.8
CTR000011,2026-04-01,ACTIVE,CURRENT,31773.33
CTR000011,2026-05-01,ACTIVE,CURRENT,31137.87
CTR000012,2023-05-26,ACTIVE,CURRENT,54439.0
CTR000012,2023-06-01,ACTIVE,CURRENT,53531.68
CTR000012,2023-07-01,ACTIVE,CURRENT,52624.37
CTR000012,2023-08-01,ACTIVE,CURRENT,51717.05
CTR000012,2023-09-01,ACTIVE,CURRENT,50809.73
CTR000012,2023-10-01,ACTIVE,CURRENT,49902.42
CTR000012,2023-11-01,ACTIVE,CURRENT,48995.1
CTR000012,2023-12-01,DELINQUENT,1-30,48087.78
CTR000012,2024-01-01,ACTIVE,CURRENT,47180.47
CTR000012,2024-02-01,ACTIVE,CURRENT,46273.15
CTR000012,2024-03-01,ACTIVE,CURRENT,45365.83
CTR000012,2024-04-01,ACTIVE,CURRENT,44458.52
CTR000012,2024-05-01,DELINQUENT,1-30,43551.2
CTR000012,2024-06-01,ACTIVE,CURRENT,42643.88
CTR000012,2024-07-01,ACTIVE,CURRENT,41736.57
CTR000012,2024-08-01,ACTIVE,CURRENT,40829.25
CTR000012,2024-09-01,ACTIVE,CURRENT,39921.93
CTR000012,2024-10-01,ACTIVE,CURRENT,39014.62
CTR000012,2024-11-01,ACTIVE,CURRENT,38107.3
CTR000012,2024-12-01,ACTIVE,CURRENT,37199.98
CTR000012,2025-01-01,ACTIVE,CURRENT,36292.67
CTR000012,2025-02-01,ACTIVE,CURRENT,35385.35
CTR000012,2025-03-01,ACTIVE,CURRENT,34478.03
CTR000012,2025-04-01,ACTIVE,CURRENT,33570.72
CTR000013,2025-05-15,ACTIVE,CURRENT,44673.0
CTR000013,2025-06-01,ACTIVE,CURRENT,44052.54
CTR000013,2025-07-01,ACTIVE,CURRENT,43432.08
CTR000013,2025-08-01,ACTIVE,CURRENT,42811.62
CTR000013,2025-09-01,ACTIVE,CURRENT,42191.17
CTR000013,2025-10-01,ACTIVE,CURRENT,41570.71
CTR000013,2025-11-01,ACTIVE,CURRENT,40950.25
CTR000013,2025-12-01,ACTIVE,CURRENT,40329.79
CTR000013,2026-01-01,ACTIVE,CURRENT,39709.33
CTR000013,2026-02-01,ACTIVE,CURRENT,39088.87
CTR000013,2026-03-01,ACTIVE,CURRENT,38468.42
CTR000013,2026-04-01,ACTIVE,CURRENT,37847.96
CTR000013,2026-05-01,ACTIVE,CURRENT,37227.5
CTR000014,2023-05-28,ACTIVE,CURRENT,69385.0
CTR000014,2023-06-01,ACTIVE,CURRENT,68421.32
CTR000014,2023-07-01,ACTIVE,CURRENT,67457.64
CTR000014,2023-08-01,ACTIVE,CURRENT,66493.96
CTR000014,2023-09-01,ACTIVE,CURRENT,65530.28
CTR000014,2023-10-01,ACTIVE,CURRENT,64566.6
CTR000014,2023-11-01,ACTIVE,CURRENT,63602.92
CTR000014,2023-12-01,ACTIVE,CURRENT,62639.24
CTR000014,2024-01-01,ACTIVE,CURRENT,61675.56
CTR000014,2024-02-01,ACTIVE,CURRENT,60711.87
CTR000014,2024-03-01,ACTIVE,CURRENT,59748.19
CTR000014,2024-04-01,ACTIVE,CURRENT,58784.51
CTR000014,2024-05-01,ACTIVE,CURRENT,57820.83
CTR000014,2024-06-01,ACTIVE,CURRENT,56857.15
CTR000014,2024-07-01,ACTIVE,CURRENT,55893.47
CTR000014,2024-08-01,ACTIVE,CURRENT,54929.79
CTR000014,2024-09-01,DELINQUENT,31-60,53966.11
CTR000014,2024-10-01,ACTIVE,CURRENT,53002.43
CTR000014,2024-11-01,ACTIVE,CURRENT,52038.75
CTR000014,2024-12-01,ACTIVE,CURRENT,51075.07
CTR000014,2025-01-01,ACTIVE,CURRENT,50111.39
CTR000014,2025-02-01,ACTIVE,CURRENT,49147.71
CTR000014,2025-03-01,ACTIVE,CURRENT,48184.03
CTR000014,2025-04-01,ACTIVE,CURRENT,47220.35
CTR000015,2023-08-27,ACTIVE,CURRENT,34941.0
CTR000015,2023-09-01,ACTIVE,CURRENT,34358.65
CTR000015,2023-10-01,DELINQUENT,1-30,33776.3
CTR000015,2023-11-01,ACTIVE,CURRENT,33193.95
CTR000015,2023-12-01,ACTIVE,CURRENT,32611.6
CTR000015,2024-01-01,ACTIVE,CURRENT,32029.25
CTR000015,2024-02-01,ACTIVE,CURRENT,31446.9
CTR000015,2024-03-01,ACTIVE,CURRENT,30864.55
CTR000015,2024-04-01,DELINQUENT,31-60,30282.2
CTR000015,2024-05-01,ACTIVE,CURRENT,29699.85
CTR000015,2024-06-01,ACTIVE,CURRENT,29117.5
CTR000015,2024-07-01,ACTIVE,CURRENT,28535.15
CTR000015,2024-08-01,ACTIVE,CURRENT,27952.8
CTR000015,2024-09-01,ACTIVE,CURRENT,27370.45
CTR000015,2024-10-01,ACTIVE,CURRENT,26788.1
CTR000015,2024-11-01,ACTIVE,CURRENT,26205.75
CTR000015,2024-12-01,ACTIVE,CURRENT,25623.4
CTR000015,2025-01-01,ACTIVE,CURRENT,25041.05
CTR000015,2025-02-01,ACTIVE,CURRENT,24458.7
CTR000015,2025-03-01,ACTIVE,CURRENT,23876.35
CTR000015,2025-04-01,ACTIVE,CURRENT,23294.0
CTR000015,2025-05-01,ACTIVE,CURRENT,22711.65
CTR000015,2025-06-01,ACTIVE,CURRENT,22129.3
CTR000015,2025-07-01,ACTIVE,CURRENT,21546.95
CTR000016,2024-05-13,ACTIVE,CURRENT,58336.0
CTR000016,2024-06-01,ACTIVE,CURRENT,57120.67
CTR000016,2024-07-01,ACTIVE,CURRENT,55905.33
CTR000016,2024-08-01,ACTIVE,CURRENT,54690.0
CTR000016,2024-09-01,ACTIVE,CURRENT,53474.67
CTR000016,2024-10-01,ACTIVE,CURRENT,52259.33
CTR000016,2024-11-01,ACTIVE,CURRENT,51044.0
CTR000016,2024-12-01,ACTIVE,CURRENT,49828.67
CTR000016,2025-01-01,ACTIVE,CURRENT,48613.33
CTR000016,2025-02-01,ACTIVE,CURRENT,47398.0
CTR000016,2025-03-01,ACTIVE,CURRENT,46182.67
CTR000016,2025-04-01,ACTIVE,CURRENT,44967.33
CTR000016,2025-05-01,ACTIVE,CURRENT,43752.0
CTR000016,2025-06-01,ACTIVE,CURRENT,42536.67
CTR000016,2025-07-01,ACTIVE,CURRENT,41321.33
CTR000016,2025-08-01,ACTIVE,CURRENT,40106.0
CTR000016,2025-09-01,ACTIVE,CURRENT,38890.67
CTR000016,2025-10-01,DELINQUENT,1-30,37675.33
CTR000016,2025-11-01,ACTIVE,CURRENT,36460.0
CTR000016,2025-12-01,ACTIVE,CURRENT,35244.67
CTR000016,2026-01-01,ACTIVE,CURRENT,34029.33
CTR000016,2026-02-01,ACTIVE,CURRENT,32814.0
CTR000016,2026-03-01,ACTIVE,CURRENT,31598.67
CTR000016,2026-04-01,ACTIVE,CURRENT,30383.33
CTR000017,2023-02-05,ACTIVE,CURRENT,45680.0
CTR000017,2023-03-01,ACTIVE,CURRENT,44728.33
CTR000017,2023-04-01,ACTIVE,CURRENT,43776.67
CTR000017,2023-05-01,ACTIVE,CURRENT,42825.0
CTR000017,2023-06-01,ACTIVE,CURRENT,41873.33
CTR000017,2023-07-01,ACTIVE,CURRENT,40921.67
CTR000017,2023-08-01,ACTIVE,CURRENT,39970.0
CTR000017,2023-09-01,ACTIVE,CURRENT,39018.33
CTR000017,2023-10-01,ACTIVE,CURRENT,38066.67
CTR000017,2023-11-01,ACTIVE,CURRENT,37115.0
CTR000017,2023-12-01,ACTIVE,CURRENT,36163.33
CTR000017,2024-01-01,ACTIVE,CURRENT,35211.67
CTR000017,2024-02-01,ACTIVE,CURRENT,34260.0
CTR000017,2024-03-01,ACTIVE,CURRENT,33308.33
CTR000017,2024-04-01,DELINQUENT,61-90,32356.67
CTR000017,2024-05-01,ACTIVE,CURRENT,31405.0
CTR000017,2024-06-01,ACTIVE,CURRENT,30453.33
CTR000017,2024-07-01,ACTIVE,CURRENT,29501.67
CTR000017,2024-08-01,ACTIVE,CURRENT,28550.0
CTR000017,2024-09-01,ACTIVE,CURRENT,27598.33
CTR000017,2024-10-01,DELINQUENT,31-60,26646.67
CTR000017,2024-11-01,ACTIVE,CURRENT,25695.0
CTR000017,2024-12-01,ACTIVE,CURRENT,24743.33
CTR000017,2025-01-01,ACTIVE,CURRENT,23791.67
CTR000018,2025-08-08,ACTIVE,CURRENT,16873.0
CTR000018,2025-09-01,ACTIVE,CURRENT,16638.65
CTR000018,2025-10-01,ACTIVE,CURRENT,16404.31
CTR000018,2025-11-01,ACTIVE,CURRENT,16169.96
CTR000018,2025-12-01,ACTIVE,CURRENT,15935.61
CTR000018,2026-01-01,ACTIVE,CURRENT,15701.26
CTR000018,2026-02-01,ACTIVE,CURRENT,15466.92
CTR000018,2026-03-01,ACTIVE,CURRENT,15232.57
CTR000018,2026-04-01,ACTIVE,CURRENT,14998.22
CTR000018,2026-05-01,ACTIVE,CURRENT,14763.87
CTR000019,2023-04-26,ACTIVE,CURRENT,39233.0
CTR000019,2023-05-01,ACTIVE,CURRENT,38143.19
CTR000019,2023-06-01,ACTIVE,CURRENT,37053.39
CTR000019,2023-07-01,DELINQUENT,1-30,35963.58
CTR000019,2023-08-01,DELINQUENT,1-30,34873.78
CTR000019,2023-09-01,ACTIVE,CURRENT,33783.97
CTR000019,2023-10-01,ACTIVE,CURRENT,32694.17
CTR000019,2023-11-01,ACTIVE,CURRENT,31604.36
CTR000019,2023-12-01,ACTIVE,CURRENT,30514.56
CTR000019,2024-01-01,ACTIVE,CURRENT,29424.75
CTR000019,2024-02-01,DELINQUENT,61-90,28334.94
CTR000019,2024-03-01,ACTIVE,CURRENT,27245.14
CTR000019,2024-04-01,ACTIVE,CURRENT,26155.33
CTR000019,2024-05-01,ACTIVE,CURRENT,25065.53
CTR000019,2024-06-01,ACTIVE,CURRENT,23975.72
CTR000019,2024-07-01,ACTIVE,CURRENT,22885.92
CTR000019,2024-08-01,ACTIVE,CURRENT,21796.11
CTR000019,2024-09-01,ACTIVE,CURRENT,20706.31
CTR000019,2024-10-01,ACTIVE,CURRENT,19616.5
CTR000019,2024-11-01,ACTIVE,CURRENT,18526.69
CTR000019,2024-12-01,ACTIVE,CURRENT,17436.89
CTR000019,2025-01-01,DELINQUENT,1-30,16347.08
CTR000019,2025-02-01,ACTIVE,CURRENT,15257.28
CTR000019,2025-03-01,ACTIVE,CURRENT,14167.47
CTR000020,2023-08-27,ACTIVE,CURRENT,18482.0
CTR000020,2023-09-01,ACTIVE,CURRENT,18096.96
CTR000020,2023-10-01,ACTIVE,CURRENT,17711.92
CTR000020,2023-11-01,ACTIVE,CURRENT,17326.87
CTR000020,2023-12-01,ACTIVE,CURRENT,16941.83
CTR000020,2024-01-01,ACTIVE,CURRENT,16556.79
CTR000020,2024-02-01,ACTIVE,CURRENT,16171.75
CTR000020,2024-03-01,ACTIVE,CURRENT,15786.71
CTR000020,2024-04-01,DELINQUENT,61-90,15401.67
CTR000020,2024-05-01,ACTIVE,CURRENT,15016.62
CTR000020,2024-06-01,ACTIVE,CURRENT,14631.58
CTR000020,2024-07-01,ACTIVE,CURRENT,14246.54
CTR000020,2024-08-01,ACTIVE,CURRENT,13861.5
CTR000020,2024-09-01,ACTIVE,CURRENT,13476.46
CTR000020,2024-10-01,ACTIVE,CURRENT,13091.42
CTR000020,2024-11-01,ACTIVE,CURRENT,12706.38
CTR000020,2024-12-01,ACTIVE,CURRENT,12321.33
CTR000020,2025-01-01,ACTIVE,CURRENT,11936.29
CTR000020,2025-02-01,ACTIVE,CURRENT,11551.25
CTR000020,2025-03-01,ACTIVE,CURRENT,11166.21
CTR000020,2025-04-01,ACTIVE,CURRENT,10781.17
CTR000020,2025-05-01,ACTIVE,CURRENT,10396.13
CTR000020,2025-06-01,ACTIVE,CURRENT,10011.08
CTR000020,2025-07-01,ACTIVE,CURRENT,9626.04
CTR000021,2025-07-26,ACTIVE,CURRENT,15834.0
CTR000021,2025-08-01,ACTIVE,CURRENT,15504.12
CTR000021,2025-09-01,ACTIVE,CURRENT,15174.25
CTR000021,2025-10-01,ACTIVE,CURRENT,14844.38
CTR000021,2025-11-01,ACTIVE,CURRENT,14514.5
CTR000021,2025-12-01,ACTIVE,CURRENT,14184.62
CTR000021,2026-01-01,ACTIVE,CURRENT,13854.75
CTR000021,2026-02-01,ACTIVE,CURRENT,13524.88
CTR000021,2026-03-01,ACTIVE,CURRENT,13195.0
CTR000021,2026-04-01,ACTIVE,CURRENT,12865.12
CTR000021,2026-05-01,ACTIVE,CURRENT,12535.25
CTR000022,2025-08-04,ACTIVE,CURRENT,38109.0
CTR000022,2025-09-01,ACTIVE,CURRENT,37473.85
CTR000022,2025-10-01,ACTIVE,CURRENT,36838.7
CTR000022,2025-11-01,ACTIVE,CURRENT,36203.55
CTR000022,2025-12-01,ACTIVE,CURRENT,35568.4
CTR000022,2026-01-01,ACTIVE,CURRENT,34933.25
CTR000022,2026-02-01,ACTIVE,CURRENT,34298.1
CTR000022,2026-03-01,ACTIVE,CURRENT,33662.95
CTR000022,2026-04-01,ACTIVE,CURRENT,33027.8
CTR000022,2026-05-01,DELINQUENT,61-90,32392.65
CTR000023,2025-01-11,DELINQUENT,61-90,20850.0
CTR000023,2025-02-01,ACTIVE,CURRENT,20560.42
CTR000023,2025-03-01,ACTIVE,CURRENT,20270.83
CTR000023,2025-04-01,ACTIVE,CURRENT,19981.25
CTR000023,2025-05-01,ACTIVE,CURRENT,19691.67
CTR000023,2025-06-01,ACTIVE,CURRENT,19402.08
CTR000023,2025-07-01,ACTIVE,CURRENT,19112.5
CTR000023,2025-08-01,ACTIVE,CURRENT,18822.92
CTR000023,2025-09-01,ACTIVE,CURRENT,18533.33
CTR000023,2025-10-01,ACTIVE,CURRENT,18243.75
CTR000023,2025-11-01,ACTIVE,CURRENT,17954.17
CTR000023,2025-12-01,ACTIVE,CURRENT,17664.58
CTR000023,2026-01-01,ACTIVE,CURRENT,17375.0
CTR000023,2026-02-01,ACTIVE,CURRENT,17085.42
CTR000023,2026-03-01,ACTIVE,CURRENT,16795.83
CTR000023,2026-04-01,DELINQUENT,1-30,16506.25
CTR000023,2026-05-01,ACTIVE,CURRENT,16216.67
CTR000024,2024-09-09,ACTIVE,CURRENT,17683.0
CTR000024,2024-10-01,ACTIVE,CURRENT,17388.28
CTR000024,2024-11-01,ACTIVE,CURRENT,17093.57
CTR000024,2024-12-01,ACTIVE,CURRENT,16798.85
CTR000024,2025-01-01,ACTIVE,CURRENT,16504.13
CTR000024,2025-02-01,ACTIVE,CURRENT,16209.42
CTR000024,2025-03-01,ACTIVE,CURRENT,15914.7
CTR000024,2025-04-01,ACTIVE,CURRENT,15619.98
CTR000024,2025-05-01,ACTIVE,CURRENT,15325.27
CTR000024,2025-06-01,DELINQUENT,61-90,15030.55
CTR000024,2025-07-01,ACTIVE,CURRENT,14735.83
CTR000024,2025-08-01,ACTIVE,CURRENT,14441.12
CTR000024,2025-09-01,ACTIVE,CURRENT,14146.4
CTR000024,2025-10-01,ACTIVE,CURRENT,13851.68
CTR000024,2025-11-01,ACTIVE,CURRENT,13556.97
CTR000024,2025-12-01,ACTIVE,CURRENT,13262.25
CTR000024,2026-01-01,ACTIVE,CURRENT,12967.53
CTR000024,2026-02-01,ACTIVE,CURRENT,12672.82
CTR000024,2026-03-01,ACTIVE,CURRENT,12378.1
CTR000024,2026-04-01,ACTIVE,CURRENT,12083.38
CTR000024,2026-05-01,ACTIVE,CURRENT,11788.67
CTR000025,2026-02-25,ACTIVE,CURRENT,20636.0
CTR000025,2026-03-01,ACTIVE,CURRENT,20292.07
CTR000025,2026-04-01,ACTIVE,CURRENT,19948.13
CTR000025,2026-05-01,ACTIVE,CURRENT,19604.2
CTR000026,2024-09-28,ACTIVE,CURRENT,26357.0
CTR000026,2024-10-01,ACTIVE,CURRENT,25624.86
CTR000026,2024-11-01,ACTIVE,CURRENT,24892.72
CTR000026,2024-12-01,ACTIVE,CURRENT,24160.58
CTR000026,2025-01-01,ACTIVE,CURRENT,23428.44
CTR000026,2025-02-01,ACTIVE,CURRENT,22696.31
CTR000026,2025-03-01,ACTIVE,CURRENT,21964.17
CTR000026,2025-04-01,ACTIVE,CURRENT,21232.03
CTR000026,2025-05-01,ACTIVE,CURRENT,20499.89
CTR000026,2025-06-01,ACTIVE,CURRENT,19767.75
CTR000026,2025-07-01,ACTIVE,CURRENT,19035.61
CTR000026,2025-08-01,ACTIVE,CURRENT,18303.47
