vin,make,model,model_year,trim,msrp
2TS0G0ZD2UNH60042,Lexus,UX,2021,LE,66054
2TYSJPEPPRYKA0043,Toyota,Corolla,2023,LE,32519
2THBJAZSXBMTD0044,Lexus,NX,2022,Limited,58477
2TE7509G59RCW0045,Toyota,Prius,2024,Base,27986
2T4G85EFXKEJU0046,Lexus,UX,2025,Platinum,59937
2TV694GHP45R30047,Lexus,UX,2023,Limited,50131
2TX4XT0K7EFFF0048,Lexus,RX,2024,Base,72797
2TDYH3Z4DVWZG0049,Lexus,NX,2025,Platinum,37942
2T7RGZ0HUR4BU0050,Toyota,Prius,2021,LE,41909
2TZAMK2EKBFP10051,Lexus,ES,2024,Limited,46340
2TWXFDKLDFU540052,Toyota,RAV4,2024,Platinum,52969
2TP9HZ4HV8WCR0053,Lexus,ES,2024,Platinum,27590
2TWPJTVXHA84M0054,Toyota,Camry,2022,Limited,58903
2TZE2C4B6EX420055,Toyota,Tacoma,2026,Limited,42973
2TBXL60F4GS420056,Toyota,Highlander,2025,Base,49936
2TRYLE9H9NZZK0057,Lexus,ES,2022,Base,33597
2TMKEM865XXK50058,Lexus,NX,2021,Limited,52980
2TDZ9EW65CD0V0059,Lexus,ES,2021,Base,64305
2TC5NX79KD5GY0060,Lexus,UX,2026,Base,57066
2TS55L00V13YD0061,Toyota,Corolla,2026,XLE,28319
2T1VTKYFKZW2J0062,Lexus,RX,2025,Base,44288
2TJF490B0WMPY0063,Lexus,ES,2024,LE,38846
2TEVG9CYJ1KLM0064,Toyota,Camry,2026,Platinum,77021
2T5C30S5V5RSW0065,Toyota,Prius,2024,LE,48106
2TV193LNJTD700066,Lexus,UX,2025,Base,70622
2TFLU59K4FR5Z0067,Toyota,RAV4,2021,Limited,27490
2T0S1F0RBXGYK0068,Lexus,IS,2022,Base,42800
2T75AFBTPK4HV0069,Lexus,NX,2022,XLE,31985
2T36EH8B9SKV40070,Toyota,Camry,2021,Platinum,47122
2T3MF0E99B17C0071,Toyota,Tacoma,2026,Limited,48464
2TZEZSGYJCZYM0072,Lexus,RX,2026,Limited,69573
2TJE6CVNCNCXW0073,Lexus,NX,2025,Limited,77438
2TCNVZDYUH0420074,Lexus,ES,2026,Limited,49339
2T880UF4F4MVX0075,Lexus,NX,2021,Base,45490
2T54L5Z5CZ4UD0076,Lexus,ES,2021,Limited,47809
2TK5CJES001CK0077,Toyota,Corolla,2026,Limited,48311
2TEJ02XUSHBM80078,Lexus,UX,2025,Limited,60809
2TT5PV8NHJE5M0079,Toyota,RAV4,2026,Limited,29753
2TEVWLM09RHNJ0080,Lexus,ES,2022,Limited,25722
2T06JFEW2733E0081,Lexus,IS,2022,XLE,66096
2T6ZJMJ49DHKW0082,Toyota,Highlander,2022,LE,45145
2TVFTNUJWF9LK0083,Toyota,RAV4,2022,Platinum,71227
2TCBFCTP3B8VW0084,Lexus,IS,2024,LE,76736
2T6EDL5376PYK0085,Lexus,ES,2023,XLE,72116
2TJ09GXS6HU5S0086,Lexus,UX,2022,Base,27316
2T3SLXXNL89680087,Lexus,UX,2023,Limited,25518
2T96SPZDDV87V0088,Toyota,Highlander,2025,Base,31044
2TT020C2DN0VE0089,Lexus,NX,2024,Platinum,53514
2THJG20Y0KN920090,Lexus,IS,2025,Base,26969
2TY76K9JXXL2W0091,Toyota,Camry,2025,XLE,57247
2TW7B0YH3WB7T0092,Lexus,IS,2026,Platinum,61855
2TD7L1KSCHNB50093,Toyota,Prius,2023,Limited,33924
2T397DJPX71XM0094,Lexus,NX,2024,Platinum,46434
2T7NSUWRWVP8X0095,Lexus,ES,2024,XLE,60732
2TH12ZKVCVFZ50096,Lexus,ES,2026,XLE,72977
2TNUUJGSSDRRD0097,Lexus,NX,2021,Limited,45646
2TJAL377NVXVD0098,Lexus,RX,2021,Platinum,39218
2T3MC28MVCAWG0099,Toyota,Camry,2023,XLE,53776
2T96UNHYL6TMA0100,Lexus,NX,2026,XLE,75823
2TNM249XF2GMJ0101,Lexus,IS,2024,XLE,40256
2T1S5UYWAT0SD0102,Toyota,RAV4,2026,Base,54500
2T29WHV0RRJ7K0103,Lexus,NX,2024,Platinum,48485
2T7PSF50EHD9N0104,Lexus,IS,2025,Platinum,33820
2T5HP8F95D6J90105,Toyota,RAV4,2024,Limited,60956
2T6WB2TAPEC4Z0106,Toyota,Tacoma,2026,Base,59465
2T7CV3MJ301510107,Toyota,Corolla,2024,Base,68743
2TZHM2JRABW640108,Toyota,Prius,2025,Limited,77959
2T6ZKUNHC3BSP0109,Toyota,Camry,2021,Base,62924
2TDSC25RPDJ9V0110,Toyota,Highlander,2022,Platinum,44899
2TWKR3WUDM48D0111,Lexus,NX,2023,Limited,75498
2T3KW1M7SRWK60112,Lexus,UX,2021,Platinum,51045
2TJ1STPYF50FN0113,Lexus,IS,2021,XLE,48718
2TNP7PYWAPNH70114,Toyota,Corolla,2022,Platinum,70122
2TSXV16ZWT0980115,Toyota,Highlander,2024,Base,76613
2TP0X3CRKBT3V0116,Lexus,ES,2022,LE,45618
2TS8YT886LZLJ0117,Toyota,Highlander,2026,Platinum,56002
2TDCEDA3JREKA0118,Toyota,Tacoma,2022,Platinum,53885
2T78BA3ABUVB90119,Lexus,RX,2026,Limited,76833
2TGKSNTZU2F020120,Toyota,Corolla,2024,Platinum,39938
2TFCF2117DALF0121,Toyota,RAV4,2024,Limited,66264
2TGCRP7UCEUCM0122,Lexus,IS,2023,Base,37576
2T2EWLS1Y1JF90123,Toyota,Prius,2026,XLE,27519
2TREY2XBU58RZ0124,Toyota,Highlander,2025,Limited,52301
2T1FVSEFUK1K10125,Toyota,Prius,2023,XLE,30982
2TW50UGJFM4590126,Toyota,Corolla,2024,Base,25721
2TFX1AV31FSL10127,Toyota,RAV4,2022,LE,41623
2T8KEL4U3W7E00128,Lexus,ES,2023,LE,71244
2TN6GJWA2Y1Y50129,Lexus,IS,2023,Limited,77443
2TXN7XM2XV8SX0130,Toyota,RAV4,2024,XLE,77509
2THNMB6P5VE380131,Lexus,ES,2022,XLE,39861
2T41E57293C0F0132,Lexus,NX,2021,LE,67096
2TC2Y4GAGTR9R0133,Lexus,NX,2024,XLE,49633
2T9KZB7GV3FHK0134,Lexus,IS,2023,XLE,46483
2T7Z7G55XEWCH0135,Lexus,NX,2021,XLE,66465
2TLSMLY46R2MM0136,Toyota,Prius,2026,Limited,49924
2TN541APPUEGM0137,Toyota,Prius,2023,XLE,36915
2TT8X12HZZ6MW0138,Lexus,RX,2025,Platinum,29554
2THSWHM0K913J0139,Toyota,RAV4,2025,Limited,51724
2TML8VJMX5DZA0140,Toyota,Highlander,2024,LE,36787
2T9838358LFBR0141,Lexus,IS,2023,Base,42012
2TVL689HHU0C50142,Toyota,Tacoma,2025,LE,51862
2TSWC5TZF5HSP0143,Toyota,Prius,2026,Platinum,69163
2T4LJPPDZULXV0144,Lexus,IS,2023,Platinum,41520
2T3DUJJSKXS280145,Toyota,Camry,2022,Platinum,65445
2T15EF29U068X0146,Lexus,UX,2025,Base,74733
2T6ZE2P4P8UXV0147,Toyota,Prius,2023,Platinum,61875
2T8YDCG6BHL560148,Toyota,Tacoma,2021,Limited,37259
2TWLUF0TF0LD20149,Toyota,Prius,2026,XLE,71578
2TFGAP7EJR5AA0150,Toyota,Highlander,2026,XLE,77550
2TJ7ER1FGGX0W0151,Toyota,Highlander,2022,Limited,74689
2TKEAL5ZPK35P0152,Toyota,Prius,2021,Base,33175
2T1Z4XJSUFSVB0153,Toyota,Tacoma,2026,XLE,37464
2T2VDS81HS8EA0154,Toyota,Prius,2023,XLE,32649
2T30M7EBEATPC0155,Lexus,IS,2021,Limited,57201
2T342FKUFWF9P0156,Lexus,IS,2022,Platinum,45413
2TEW4SDSF4H6D0157,Lexus,IS,2023,LE,31827
2TJAL8ZTL0JUH0158,Toyota,Prius,2021,XLE,76894
2TETE8690D8L00159,Lexus,ES,2022,XLE,74680
2THR9ACASC7010160,Toyota,Tacoma,2022,LE,26317
2TXS3XUE0H9DM0161,Lexus,NX,2022,Platinum,27009
2T6VWXF6A0NVW0162,Lexus,RX,2026,Platinum,39897
2T8NSKA3BRZAY0163,Lexus,ES,2021,Limited,72370
2TPS38DKUFCR30164,Lexus,RX,2026,XLE,54045
2TG9J2ED4JSVT0165,Toyota,Tacoma,2023,Limited,69922
2T5URENJGKGL50166,Lexus,ES,2024,XLE,50641
2TZP5W6THFLWC0167,Toyota,Tacoma,2022,XLE,33720
2TSZ29DWTMB250168,Toyota,Prius,2025,Platinum,40374
2TGJHADRJN20F0169,Toyota,Highlander,2025,Platinum,40962
2TEN5JFYHC6DL0170,Toyota,Corolla,2025,Limited,77849
2TB14MZPMUU5K0171,Lexus,UX,2021,Platinum,64578
2TV837DFU1J3N0172,Toyota,Prius,2026,Platinum,40328
2TZ78Z9X1UMBX0173,Toyota,Highlander,2025,LE,25920
2T7ZRLGSSUDR10174,Lexus,RX,2023,LE,35540
2TXZBZKN8WM8C0175,Toyota,Tacoma,2021,Base,39245
2T7AYNJYMXDBK0176,Toyota,Corolla,2025,LE,74748
2T0E02GYWXJL40177,Toyota,Tacoma,2026,Limited,66544
2TZRM1WVJMA2C0178,Lexus,NX,2022,Platinum,44854
2TG8KYESZXLFY0179,Toyota,Prius,2024,Base,41380
2TEZTGAD153L30180,Toyota,Camry,2024,Limited,47018
2T7RL5ECVBXTG0181,Lexus,RX,2021,XLE,35148
2TEFY7B4L4LDG0182,Lexus,NX,2023,LE,36450
2TTVWSGD28KD00183,Lexus,IS,2021,Limited,29742
2T7NGBPLVF7HW0184,Lexus,IS,2024,Limited,56053
2T1M010M5CT560185,Lexus,RX,2023,LE,41600
2TGFZ3RD137S70186,Toyota,Camry,2023,Base,49873
2TKH5MLPNJC4F0187,Toyota,Tacoma,2026,Limited,37232
2TTXEF12XU6A30188,Toyota,Tacoma,2021,Limited,33806
2TGGGVZ3T187C0189,Toyota,Tacoma,2022,XLE,50409
2T2C2YSD7U0BY0190,Toyota,Tacoma,2023,XLE,42372
2TRJW5XU3FN5P0191,Lexus,RX,2024,Limited,73774
2T9LEW92JBMNN0192,Lexus,RX,2021,LE,26167
2T0NU0692HBS00193,Lexus,RX,2024,Platinum,53235
2TZZLTFVB1DLP0194,Toyota,Highlander,2022,LE,68413
2T39BA7JMARTW0195,Toyota,RAV4,2026,XLE,51774
2T6TP6W2GA90V0196,Lexus,ES,2023,Base,55571
2TUXUTWNKSD2X0197,Toyota,RAV4,2026,LE,71270
2T8VT321CNYR70198,Toyota,Prius,2026,XLE,57247
2TMVG7JTMYFRZ0199,Lexus,NX,2022,XLE,51556
2TTV6H7DE7N9H0200,Lexus,ES,2026,Limited,58723
2TDKJNY36KXMF0201,Lexus,UX,2024,XLE,65355
2TDA5UPLL8FJ40202,Toyota,RAV4,2026,Limited,50436
2T1ACN0AXNBAS0203,Lexus,UX,2022,XLE,44453
2T19WLECWV6Y40204,Toyota,Corolla,2026,LE,46461
2TNL2BRRJPB9L0205,Lexus,ES,2021,XLE,70603
2TTDDGBDH351H0206,Toyota,Highlander,2025,XLE,55090
2TAW3GUJ3G9HV0207,Toyota,Camry,2021,Base,56619
2TNTNZ3VLC8P70208,Toyota,Tacoma,2023,LE,24179
2TFH8KF9EGTR60209,Toyota,Prius,2023,XLE,54426
2TMCV0X4HGCAJ0210,Toyota,Corolla,2026,LE,45539
2TUF0YMH226U10211,Lexus,UX,2026,Limited,76422
2THJDLG375M1Z0212,Lexus,NX,2025,Base,68857
2T8H35CETXARY0213,Toyota,Highlander,2025,Platinum,69104
2TS7Z1KDAL9780214,Toyota,Highlander,2022,Base,73245
2TSYUD9R12SF60215,Lexus,ES,2024,Platinum,53366
2T5XH8BG23CAF0216,Toyota,Highlander,2025,Platinum,65781
2TP6Y0DR6Y7050217,Lexus,IS,2021,Base,73762
2TYZV0GCL8J3G0218,Toyota,Corolla,2023,Platinum,36839
2T2P6NYG3CH560219,Toyota,Corolla,2026,Platinum,57043
2TAD479MMJG1X0220,Toyota,Highlander,2025,Limited,51437
2T2YV5JJ39WXP0221,Toyota,RAV4,2022,LE,64905
2TJM9XHZ73V4A0222,Lexus,ES,2025,Base,25656
2TDDNULVTKDVP0223,Lexus,NX,2025,Base,47506
2TR1S9VD113XD0224,Lexus,RX,2021,XLE,37309
2T0NNV5MEMM9H0225,Lexus,NX,2024,Base,52082
2TTJLTAY6KCKX0226,Lexus,IS,2025,Base,74702
2TZEXRME9L32F0227,Lexus,UX,2023,LE,37982
2T0VP7AHZ5SSC0228,Lexus,ES,2026,XLE,48993
2TTVB09958CVN0229,Toyota,Highlander,2023,Platinum,29396
2TAEPP4GP4EKB0230,Toyota,Camry,2024,XLE,26482
2TDMTERT315240231,Toyota,Corolla,2023,Base,49526
2TAECEZ9GVWFV0232,Toyota,Tacoma,2024,Limited,49894
2TLRJ2VKW0AKH0233,Toyota,Highlander,2021,Base,61533
2TFWPZP39KLMR0234,Lexus,IS,2025,XLE,36735
2TD6EVETGN8YZ0235,Toyota,Camry,2022,LE,30556
2TENX85YWK0X40236,Lexus,IS,2022,Base,44526
2T4U0JY765ZW80237,Toyota,Camry,2025,Base,35519
2TJNTEEB9B2PC0238,Toyota,RAV4,2025,XLE,59616
2T02RVJ699F200239,Lexus,NX,2025,Base,67429
2TL9J5LMK7ZCR0240,Toyota,Tacoma,2024,LE,28119
2TRCP0176CCXG0241,Lexus,ES,2026,Platinum,65521
2TM110ET1R2ZZ0242,Lexus,ES,2024,Limited,63597
2TJ5LRE9UPKML0243,Toyota,Tacoma,2023,Platinum,71009
2TR3YH777PL3B0244,Toyota,Prius,2022,Base,32381
2T9CKDLTM2BVF0245,Toyota,Camry,2022,Limited,63749
2TLR3KM9TLY6E0246,Lexus,UX,2022,Limited,49261
2TBN93KGM7C9H0247,Toyota,Corolla,2021,Limited,67213
2TA430C4R71ZG0248,Toyota,Tacoma,2024,LE,40680
2TFV3TNAAHA1P0249,Lexus,NX,2026,XLE,50794
2TK4TT40U2P370250,Lexus,RX,2022,XLE,60640
2TWZ2JHR5LGP90251,Lexus,ES,2024,XLE,76484
2T1AFK74FETR00252,Toyota,Camry,2021,Platinum,26474
2TVDM85ANVNC90253,Lexus,UX,2025,LE,64317
2TC0SALFU2Z220254,Toyota,Prius,2025,LE,57930
2TEFVZZURN62A0255,Toyota,Prius,2023,LE,50681
2TE9VYH9TT5170256,Toyota,Tacoma,2022,XLE,74829
2TB7HTE1RRX3Z0257,Lexus,UX,2025,Platinum,24637
2TVF2YEM7XZPU0258,Lexus,NX,2022,LE,56702
2TSTPRNSZKGHF0259,Toyota,Camry,2026,Limited,64227
2TC70X8U8M9U20260,Toyota,Tacoma,2022,Platinum,32404
2T47C9Z2M6H6X0261,Toyota,Tacoma,2026,Base,24774
2TGX0TMTSU7Y00262,Toyota,Highlander,2022,Limited,51783
2T002U5MJRGUS0263,Toyota,Highlander,2025,Limited,48961
2TK7AM38JX8WT0264,Toyota,Camry,2025,Platinum,27126
2TLDPT7G5YT000265,Lexus,RX,2025,Platinum,77085
2TB3HZNMVZX980266,Lexus,ES,2026,Limited,29138
2TV6KLY32EFLY0267,Lexus,IS,2022,XLE,44766
2T2U5053LMBJS0268,Lexus,ES,2026,XLE,72750
2TL2GGE7DB2FG0269,Toyota,Camry,2023,Platinum,34176
2T1WRSV5JJLBC0270,Toyota,Prius,2026,XLE,45312
2TU5JM64WZ7RF0271,Lexus,UX,2024,XLE,47971
2TKWAAJZV7A870272,Lexus,ES,2023,Base,74192
2TRA0N342SL110273,Lexus,ES,2022,XLE,29191
2TUVU3NEMJVH60274,Lexus,NX,2025,Limited,41834
2TXBKDBMGVUJ50275,Lexus,NX,2026,Base,39257
2TA8PY3W806CY0276,Toyota,Camry,2021,LE,27672
2TE7MNT1AHS150277,Lexus,UX,2022,Base,37053
2TP71WXLCHT7W0278,Lexus,RX,2022,XLE,27413
2TS4XALUH2SAC0279,Toyota,Corolla,2025,Limited,69115
2TFSL8FYDDZKG0280,Toyota,RAV4,2022,Limited,39248
2TZ5NB1ZJTC850281,Lexus,IS,2025,XLE,59568
2TMZX6ULEK5VT0282,Lexus,NX,2025,XLE,53758
2T91MB0SXE1N80283,Toyota,Prius,2025,LE,64176
2T3XHGECJMCNG0284,Lexus,ES,2024,LE,30471
2T18TD0REAP8F0285,Toyota,Tacoma,2024,Base,47653
2TDUCEWEPGGR10286,Lexus,ES,2022,LE,58484
2TM3GZ64GLM290287,Toyota,Tacoma,2023,LE,58989
2TXX034XSP1T00288,Lexus,ES,2024,Limited,50023
2TCVBJWAWRPXB0289,Toyota,Prius,2026,XLE,60284
2TC6ZKJT0SRTW0290,Toyota,Corolla,2021,Platinum,50201
2TEX7M8GWC1FD0291,Toyota,Prius,2023,XLE,77552
2THRA1DWCXKX90292,Lexus,UX,2026,LE,34039
2T259FR4V2KJY0293,Toyota,Prius,2021,Limited,61449
2T2TF294JJ7N80294,Toyota,Tacoma,2024,Platinum,36851
2TEU4XFH340ZN0295,Toyota,Camry,2023,XLE,62920
2TLZ5K5CRN0KF0296,Toyota,RAV4,2021,Base,39928
2TAYHW57BYPPP0297,Toyota,RAV4,2025,Platinum,73175
2T7KB1CTLDVNU0298,Lexus,IS,2021,Limited,66910
2T1U0GBV1R19G0299,Toyota,Corolla,2023,Limited,63131
2TN96BCSWY82L0300,Toyota,Camry,2021,XLE,68847
2TWS9UDT1BURK0301,Lexus,ES,2023,Limited,67052
2T1R3SK4WY5JP0302,Toyota,Corolla,2026,LE,62078
2TWJ4KLXEHMXK0303,Toyota,Camry,2026,Base,74163
2T3W5UKNGJMBU0304,Lexus,UX,2025,Platinum,64131
2TRRBZF7J970M0305,Toyota,Tacoma,2024,Limited,55054
2TNRC3AU3RNPE0306,Toyota,Camry,2022,Limited,64439
2T6S42C1X2CG50307,Lexus,ES,2024,Base,40103
2T1DNV52WV6L40308,Lexus,RX,2023,Platinum,27574
2T5F9HMJ23X5B0309,Toyota,Highlander,2022,Limited,62686
2TFTXLHFH50F10310,Toyota,Highlander,2026,Platinum,64112
2T1CLYKLKMD3W0311,Toyota,Highlander,2023,Limited,42925
2TJNATA688A8S0312,Toyota,Corolla,2022,Platinum,67219
2T35FASUPDMKD0313,Lexus,UX,2026,XLE,26406
2TWYFDG3MLVM60314,Toyota,Corolla,2026,Platinum,47605
2TWX01E4EV7JH0315,Toyota,Corolla,2026,XLE,45575
2TPPDGF7V4XTZ0316,Lexus,IS,2022,Platinum,60872
2T88MRVNAHB6H0317,Lexus,IS,2026,LE,76400
2TCYZPANVTEWW0318,Lexus,UX,2025,Platinum,45228
2TYY2BMNYY77C0319,Toyota,Corolla,2026,LE,55555
2T6Y63DWXBPYZ0320,Toyota,Prius,2021,LE,42380
2T1L1MHWXCU3F0321,Toyota,RAV4,2024,LE,48352
2TPWMH0CNF59B0322,Lexus,ES,2024,Platinum,34097
2T7WXKGJPC61H0323,Toyota,RAV4,2021,XLE,26885
2T6CGWBWPXNNV0324,Toyota,RAV4,2023,Platinum,44915
2TUKLUHA9GPZX0325,Lexus,RX,2023,LE,70160
2TSLEWY5DJB7D0326,Lexus,IS,2021,Limited,27525
2T2M5ZWYNF6JF0327,Toyota,Highlander,2026,Limited,30374
2T67RRKT02MYX0328,Lexus,ES,2024,Limited,25983
2THZ76LVZJ9G20329,Toyota,Highlander,2026,Base,45356
2T623SSL71EYP0330,Toyota,RAV4,2026,Platinum,52255
2TYSME8H6XG5M0331,Lexus,IS,2023,Limited,28561
2T1X8DFPJAKK50332,Toyota,Prius,2025,XLE,49557
2TPXWW4ZFA92J0333,Lexus,NX,2023,Base,48197
2TZHVBS42X1210334,Toyota,Corolla,2024,Platinum,37842
2TJN103KVJJAE0335,Toyota,Highlander,2026,Base,33436
2TJFJ364M69450336,Lexus,UX,2024,XLE,38794
2TA8S9U30CC700337,Toyota,Highlander,2021,Platinum,55557
2TU6FFS7EWDYA0338,Toyota,Camry,2024,Limited,57597
2TY3ZVVLCWTD70339,Lexus,IS,2025,LE,61542
2TVBV8FJ9EUTJ0340,Toyota,Prius,2025,XLE,42036
2THMK50MTS8MC0341,Lexus,RX,2023,Base,33507
2T31S5LPZDTHD0342,Toyota,Highlander,2022,Limited,50132
2T7R117TK4AV50343,Lexus,ES,2024,XLE,58750
2TZ4UYUUGT26S0344,Toyota,Corolla,2026,Platinum,74495
2TYMXAAEA3GG50345,Toyota,Tacoma,2023,LE,71530
2TNCBFDPHHFJ10346,Lexus,ES,2026,Platinum,76638
2TMTV6E6U4XTL0347,Toyota,Corolla,2021,XLE,74928
2T1YDTTM5E8N20348,Toyota,Highlander,2022,Limited,31106
2T4PG5TGCEET50349,Toyota,Tacoma,2021,Limited,33755
2T1UKY2A987420350,Toyota,Corolla,2026,Base,59397
