payment_id,contract_number,payment_date,payment_amount,payment_method
PMT0000055,CTR000004,2024-01-02,1173.4,ONLINE_BANKING
PMT0000056,CTR000004,2024-02-01,1173.4,CHEQUE
PMT0000057,CTR000004,2024-03-02,1173.4,PRE_AUTHORIZED
PMT0000058,CTR000004,2024-04-01,1173.4,PRE_AUTHORIZED
PMT0000059,CTR000004,2024-05-05,1173.4,CHEQUE
PMT0000060,CTR000004,2024-06-05,1173.4,ONLINE_BANKING
PMT0000061,CTR000004,2024-07-02,1173.4,CHEQUE
PMT0000062,CTR000004,2024-08-03,1173.4,PRE_AUTHORIZED
PMT0000063,CTR000004,2024-09-05,1173.4,ONLINE_BANKING
PMT0000064,CTR000004,2024-10-03,1173.4,CHEQUE
PMT0000065,CTR000004,2024-11-04,1173.4,PRE_AUTHORIZED
PMT0000066,CTR000004,2024-12-02,1173.4,CHEQUE
PMT0000067,CTR000004,2025-01-03,1173.4,CHEQUE
PMT0000068,CTR000005,2023-02-10,1399.02,CHEQUE
PMT0000069,CTR000005,2023-03-02,1399.02,ONLINE_BANKING
PMT0000070,CTR000005,2023-04-01,1399.02,PRE_AUTHORIZED
PMT0000071,CTR000005,2023-05-02,1399.02,CHEQUE
PMT0000072,CTR000005,2023-06-04,1399.02,CHEQUE
PMT0000073,CTR000005,2023-07-03,1399.02,ONLINE_BANKING
PMT0000074,CTR000005,2023-08-02,1399.02,PRE_AUTHORIZED
PMT0000075,CTR000005,2023-09-06,1399.02,CHEQUE
PMT0000076,CTR000005,2023-10-02,1399.02,PRE_AUTHORIZED
PMT0000077,CTR000005,2023-11-02,1399.02,CHEQUE
PMT0000078,CTR000005,2023-12-02,1399.02,PRE_AUTHORIZED
PMT0000079,CTR000005,2024-01-03,1399.02,ONLINE_BANKING
PMT0000080,CTR000005,2024-02-02,1399.02,CHEQUE
PMT0000081,CTR000005,2024-03-01,1399.02,CHEQUE
PMT0000082,CTR000005,2024-04-02,1399.02,ONLINE_BANKING
PMT0000083,CTR000005,2024-05-03,1399.02,CHEQUE
PMT0000084,CTR000005,2024-06-06,1399.02,PRE_AUTHORIZED
PMT0000085,CTR000005,2024-07-02,1399.02,ONLINE_BANKING
PMT0000086,CTR000005,2024-08-02,1399.02,ONLINE_BANKING
PMT0000087,CTR000005,2024-09-06,1399.02,ONLINE_BANKING
PMT0000088,CTR000005,2024-10-02,1399.02,PRE_AUTHORIZED
PMT0000089,CTR000005,2024-11-01,1399.02,ONLINE_BANKING
PMT0000090,CTR000005,2024-12-02,1399.02,ONLINE_BANKING
PMT0000091,CTR000005,2025-01-06,1399.02,CHEQUE
PMT0000092,CTR000006,2026-05-21,928.2,PRE_AUTHORIZED
PMT0000093,CTR000007,2024-08-04,340.35,ONLINE_BANKING
PMT0000094,CTR000007,2024-09-06,340.35,PRE_AUTHORIZED
PMT0000095,CTR000007,2024-10-03,340.35,ONLINE_BANKING
PMT0000096,CTR000007,2024-11-04,340.35,PRE_AUTHORIZED
PMT0000097,CTR000007,2024-12-01,340.35,CHEQUE
PMT0000098,CTR000007,2025-01-01,340.35,PRE_AUTHORIZED
PMT0000099,CTR000007,2025-02-05,340.35,PRE_AUTHORIZED
PMT0000100,CTR000007,2025-03-04,340.35,CHEQUE
PMT0000101,CTR000007,2025-04-06,340.35,PRE_AUTHORIZED
PMT0000102,CTR000007,2025-05-05,340.35,PRE_AUTHORIZED
PMT0000103,CTR000007,2025-06-02,340.35,PRE_AUTHORIZED
PMT0000104,CTR000007,2025-07-05,340.35,CHEQUE
PMT0000105,CTR000007,2025-08-02,340.35,CHEQUE
PMT0000106,CTR000007,2025-09-03,340.35,CHEQUE
PMT0000107,CTR000007,2025-10-03,340.35,ONLINE_BANKING
PMT0000108,CTR000007,2025-11-02,340.35,PRE_AUTHORIZED
PMT0000109,CTR000007,2025-12-02,340.35,PRE_AUTHORIZED
PMT0000110,CTR000007,2026-01-02,340.35,CHEQUE
PMT0000111,CTR000007,2026-02-05,340.35,PRE_AUTHORIZED
PMT0000112,CTR000007,2026-03-01,340.35,ONLINE_BANKING
PMT0000113,CTR000007,2026-04-05,340.35,PRE_AUTHORIZED
PMT0000114,CTR000007,2026-05-03,340.35,ONLINE_BANKING
PMT0000115,CTR000008,2025-03-22,1410.02,PRE_AUTHORIZED
PMT0000116,CTR000008,2025-04-06,1410.02,CHEQUE
PMT0000117,CTR000008,2025-05-01,1410.02,PRE_AUTHORIZED
PMT0000118,CTR000008,2025-06-06,1410.02,CHEQUE
PMT0000119,CTR000008,2025-07-01,1410.02,CHEQUE
PMT0000120,CTR000008,2025-08-01,1410.02,ONLINE_BANKING
PMT0000121,CTR000008,2025-09-05,1410.02,CHEQUE
PMT0000122,CTR000008,2025-10-06,1410.02,CHEQUE
PMT0000123,CTR000008,2025-11-01,1410.02,CHEQUE
PMT0000124,CTR000008,2025-12-03,1410.02,ONLINE_BANKING
PMT0000125,CTR000008,2026-01-01,1410.02,CHEQUE
PMT0000126,CTR000008,2026-02-03,1410.02,ONLINE_BANKING
PMT0000127,CTR000008,2026-03-05,1410.02,PRE_AUTHORIZED
PMT0000128,CTR000008,2026-04-05,1410.02,CHEQUE
PMT0000129,CTR000008,2026-05-04,1410.02,CHEQUE
PMT0000130,CTR000009,2024-11-08,570.51,ONLINE_BANKING
PMT0000131,CTR000009,2024-12-01,570.51,CHEQUE
PMT0000132,CTR000009,2025-01-01,570.51,PRE_AUTHORIZED
PMT0000133,CTR000009,2025-02-01,570.51,CHEQUE
PMT0000134,CTR000009,2025-03-02,570.51,ONLINE_BANKING
PMT0000135,CTR000009,2025-04-03,570.51,PRE_AUTHORIZED
PMT0000136,CTR000009,2025-05-05,570.51,ONLINE_BANKING
PMT0000137,CTR000009,2025-06-04,570.51,ONLINE_BANKING
PMT0000138,CTR000009,2025-07-02,570.51,ONLINE_BANKING
PMT0000139,CTR000009,2025-08-03,570.51,CHEQUE
PMT0000140,CTR000009,2025-09-03,570.51,ONLINE_BANKING
PMT0000141,CTR000009,2025-10-03,570.51,ONLINE_BANKING
PMT0000142,CTR000009,2025-11-05,570.51,ONLINE_BANKING
PMT0000143,CTR000009,2025-12-05,570.51,CHEQUE
PMT0000144,CTR000009,2026-01-01,570.51,ONLINE_BANKING
PMT0000145,CTR000009,2026-02-04,570.51,CHEQUE
PMT0000146,CTR000009,2026-03-05,570.51,ONLINE_BANKING
PMT0000147,CTR000009,2026-04-01,570.51,CHEQUE
PMT0000148,CTR000009,2026-05-05,570.51,PRE_AUTHORIZED
PMT0000149,CTR000010,2023-12-26,1471.66,ONLINE_BANKING
PMT0000150,CTR000010,2024-01-05,1471.66,PRE_AUTHORIZED
PMT0000151,CTR000010,2024-02-05,1471.66,CHEQUE
PMT0000152,CTR000010,2024-03-06,1471.66,ONLINE_BANKING
PMT0000153,CTR000010,2024-04-06,1471.66,PRE_AUTHORIZED
PMT0000154,CTR000010,2024-05-04,1471.66,ONLINE_BANKING
PMT0000155,CTR000010,2024-06-02,1471.66,CHEQUE
PMT0000156,CTR000010,2024-07-06,1471.66,PRE_AUTHORIZED
PMT0000157,CTR000010,2024-08-01,1471.66,ONLINE_BANKING
PMT0000158,CTR000010,2024-09-02,1471.66,CHEQUE
PMT0000159,CTR000010,2024-10-04,1471.66,CHEQUE
PMT0000160,CTR000010,2024-11-06,1471.66,PRE_AUTHORIZED
PMT0000161,CTR000010,2024-12-06,1471.66,CHEQUE
PMT0000162,CTR000010,2025-01-03,1471.66,ONLINE_BANKING
PMT0000163,CTR000010,2025-02-01,1471.66,PRE_AUTHORIZED
PMT0000164,CTR000010,2025-03-06,1471.66,PRE_AUTHORIZED
PMT0000165,CTR000010,2025-04-06,1471.66,CHEQUE
PMT0000166,CTR000010,2025-05-01,1471.66,ONLINE_BANKING
PMT0000167,CTR000010,2025-06-03,1471.66,PRE_AUTHORIZED
PMT0000168,CTR000010,2025-07-01,1471.66,ONLINE_BANKING
PMT0000169,CTR000010,2025-08-06,1471.66,ONLINE_BANKING
PMT0000170,CTR000010,2025-09-03,1471.66,ONLINE_BANKING
PMT0000171,CTR000010,2025-10-01,1471.66,PRE_AUTHORIZED
PMT0000172,CTR000010,2025-11-02,1471.66,CHEQUE
PMT0000173,CTR000011,2025-06-12,639.01,CHEQUE
PMT0000174,CTR000011,2025-07-04,639.01,ONLINE_BANKING
PMT0000175,CTR000011,2025-08-03,639.01,ONLINE_BANKING
PMT0000176,CTR000011,2025-09-05,639.01,CHEQUE
PMT0000177,CTR000011,2025-10-01,639.01,PRE_AUTHORIZED
PMT0000178,CTR000011,2025-11-03,639.01,PRE_AUTHORIZED
PMT0000179,CTR000011,2025-12-05,639.01,CHEQUE
PMT0000180,CTR000011,2026-01-03,639.01,ONLINE_BANKING
PMT0000181,CTR000011,2026-02-02,639.01,ONLINE_BANKING
PMT0000182,CTR000011,2026-03-06,639.01,PRE_AUTHORIZED
PMT0000183,CTR000011,2026-04-03,639.01,PRE_AUTHORIZED
PMT0000184,CTR000011,2026-05-06,639.01,PRE_AUTHORIZED
PMT0000185,CTR000012,2023-05-28,910.59,PRE_AUTHORIZED
PMT0000186,CTR000012,2023-06-03,910.59,CHEQUE
PMT0000187,CTR000012,2023-07-06,910.59,PRE_AUTHORIZED
PMT0000188,CTR000012,2023-08-02,910.59,PRE_AUTHORIZED
PMT0000189,CTR000012,2023-09-01,910.59,PRE_AUTHORIZED
PMT0000190,CTR000012,2023-10-04,910.59,CHEQUE
PMT0000191,CTR000012,2023-11-01,910.59,CHEQUE
PMT0000192,CTR000012,2023-12-02,910.59,CHEQUE
PMT0000193,CTR000012,2024-01-06,910.59,PRE_AUTHORIZED
PMT0000194,CTR000012,2024-02-02,910.59,ONLINE_BANKING
PMT0000195,CTR000012,2024-03-02,910.59,PRE_AUTHORIZED
PMT0000196,CTR000012,2024-04-01,910.59,CHEQUE
PMT0000197,CTR000012,2024-05-05,910.59,CHEQUE
PMT0000198,CTR000012,2024-06-03,910.59,ONLINE_BANKING
PMT0000199,CTR000012,2024-07-05,910.59,ONLINE_BANKING
PMT0000200,CTR000012,2024-08-06,910.59,CHEQUE
PMT0000201,CTR000012,2024-09-01,910.59,PRE_AUTHORIZED
PMT0000202,CTR000012,2024-10-01,910.59,PRE_AUTHORIZED
PMT0000203,CTR000012,2024-11-03,910.59,ONLINE_BANKING
PMT0000204,CTR000012,2024-12-02,910.59,CHEQUE
PMT0000205,CTR000012,2025-01-01,910.59,PRE_AUTHORIZED
PMT0000206,CTR000012,2025-02-03,910.59,ONLINE_BANKING
PMT0000207,CTR000012,2025-03-04,910.59,ONLINE_BANKING
PMT0000208,CTR000012,2025-04-05,910.59,PRE_AUTHORIZED
PMT0000209,CTR000013,2025-05-18,625.15,ONLINE_BANKING
PMT0000210,CTR000013,2025-06-03,625.15,PRE_AUTHORIZED
PMT0000211,CTR000013,2025-07-01,625.15,ONLINE_BANKING
PMT0000212,CTR000013,2025-08-01,625.15,CHEQUE
PMT0000213,CTR000013,2025-09-05,625.15,ONLINE_BANKING
PMT0000214,CTR000013,2025-10-03,625.15,PRE_AUTHORIZED
PMT0000215,CTR000013,2025-11-05,625.15,ONLINE_BANKING
PMT0000216,CTR000013,2025-12-01,625.15,CHEQUE
PMT0000217,CTR000013,2026-01-04,625.15,PRE_AUTHORIZED
PMT0000218,CTR000013,2026-02-06,625.15,PRE_AUTHORIZED
PMT0000219,CTR000013,2026-03-05,625.15,CHEQUE
PMT0000220,CTR000013,2026-04-01,625.15,PRE_AUTHORIZED
PMT0000221,CTR000013,2026-05-03,625.15,ONLINE_BANKING
PMT0000222,CTR000014,2023-06-02,966.53,ONLINE_BANKING
PMT0000223,CTR000014,2023-06-05,966.53,ONLINE_BANKING
PMT0000224,CTR000014,2023-07-01,966.53,ONLINE_BANKING
PMT0000225,CTR000014,2023-08-03,966.53,PRE_AUTHORIZED
PMT0000226,CTR000014,2023-09-04,966.53,ONLINE_BANKING
PMT0000227,CTR000014,2023-10-06,966.53,PRE_AUTHORIZED
PMT0000228,CTR000014,2023-11-01,966.53,PRE_AUTHORIZED
PMT0000229,CTR000014,2023-12-04,966.53,PRE_AUTHORIZED
PMT0000230,CTR000014,2024-01-02,966.53,PRE_AUTHORIZED
PMT0000231,CTR000014,2024-02-02,966.53,ONLINE_BANKING
PMT0000232,CTR000014,2024-03-05,966.53,PRE_AUTHORIZED
PMT0000233,CTR000014,2024-04-01,966.53,ONLINE_BANKING
PMT0000234,CTR000014,2024-05-04,966.53,PRE_AUTHORIZED
PMT0000235,CTR000014,2024-06-06,966.53,PRE_AUTHORIZED
PMT0000236,CTR000014,2024-07-02,966.53,PRE_AUTHORIZED
PMT0000237,CTR000014,2024-08-03,966.53,ONLINE_BANKING
PMT0000238,CTR000014,2024-09-05,966.53,CHEQUE
PMT0000239,CTR000014,2024-10-05,966.53,PRE_AUTHORIZED
PMT0000240,CTR000014,2024-11-04,966.53,ONLINE_BANKING
PMT0000241,CTR000014,2024-12-06,966.53,PRE_AUTHORIZED
PMT0000242,CTR000014,2025-01-05,966.53,ONLINE_BANKING
PMT0000243,CTR000014,2025-02-01,966.53,PRE_AUTHORIZED
PMT0000244,CTR000014,2025-03-05,966.53,PRE_AUTHORIZED
PMT0000245,CTR000014,2025-04-04,966.53,PRE_AUTHORIZED
PMT0000246,CTR000015,2023-08-31,584.56,CHEQUE
PMT0000247,CTR000015,2023-09-02,584.56,ONLINE_BANKING
PMT0000248,CTR000015,2023-10-06,584.56,ONLINE_BANKING
PMT0000249,CTR000015,2023-11-01,584.56,PRE_AUTHORIZED
PMT0000250,CTR000015,2023-12-03,584.56,ONLINE_BANKING
PMT0000251,CTR000015,2024-01-01,584.56,CHEQUE
PMT0000252,CTR000015,2024-02-05,584.56,ONLINE_BANKING
PMT0000253,CTR000015,2024-03-05,584.56,CHEQUE
PMT0000254,CTR000015,2024-04-03,584.56,CHEQUE
PMT0000255,CTR000015,2024-05-01,584.56,CHEQUE
PMT0000256,CTR000015,2024-06-03,584.56,CHEQUE
PMT0000257,CTR000015,2024-07-04,584.56,CHEQUE
PMT0000258,CTR000015,2024-08-05,584.56,CHEQUE
PMT0000259,CTR000015,2024-09-05,584.56,CHEQUE
PMT0000260,CTR000015,2024-10-06,584.56,ONLINE_BANKING
PMT0000261,CTR000015,2024-11-06,584.56,CHEQUE
PMT0000262,CTR000015,2024-12-06,584.56,CHEQUE
PMT0000263,CTR000015,2025-01-04,584.56,PRE_AUTHORIZED
PMT0000264,CTR000015,2025-02-03,584.56,PRE_AUTHORIZED
PMT0000265,CTR000015,2025-03-03,584.56,CHEQUE
PMT0000266,CTR000015,2025-04-05,584.56,PRE_AUTHORIZED
PMT0000267,CTR000015,2025-05-05,584.56,PRE_AUTHORIZED
PMT0000268,CTR000015,2025-06-05,584.56,ONLINE_BANKING
PMT0000269,CTR000015,2025-07-02,584.56,PRE_AUTHORIZED
PMT0000270,CTR000016,2024-05-15,1219.58,PRE_AUTHORIZED
PMT0000271,CTR000016,2024-06-04,1219.58,ONLINE_BANKING
PMT0000272,CTR000016,2024-07-01,1219.58,ONLINE_BANKING
PMT0000273,CTR000016,2024-08-01,1219.58,CHEQUE
PMT0000274,CTR000016,2024-09-04,1219.58,CHEQUE
PMT0000275,CTR000016,2024-10-04,1219.58,PRE_AUTHORIZED
PMT0000276,CTR000016,2024-11-02,1219.58,CHEQUE
PMT0000277,CTR000016,2024-12-05,1219.58,CHEQUE
PMT0000278,CTR000016,2025-01-05,1219.58,PRE_AUTHORIZED
PMT0000279,CTR000016,2025-02-06,1219.58,CHEQUE
PMT0000280,CTR000016,2025-03-06,1219.58,PRE_AUTHORIZED
PMT0000281,CTR000016,2025-04-05,1219.58,PRE_AUTHORIZED
PMT0000282,CTR000016,2025-05-05,1219.58,PRE_AUTHORIZED
PMT0000283,CTR000016,2025-06-03,1219.58,PRE_AUTHORIZED
PMT0000284,CTR000016,2025-07-04,1219.58,CHEQUE
PMT0000285,CTR000016,2025-08-02,1219.58,CHEQUE
PMT0000286,CTR000016,2025-09-04,1219.58,ONLINE_BANKING
PMT0000287,CTR000016,2025-10-04,1219.58,CHEQUE
PMT0000288,CTR000016,2025-11-05,1219.58,CHEQUE
PMT0000289,CTR000016,2025-12-06,1219.58,ONLINE_BANKING
PMT0000290,CTR000016,2026-01-05,1219.58,ONLINE_BANKING
PMT0000291,CTR000016,2026-02-03,1219.58,ONLINE_BANKING
PMT0000292,CTR000016,2026-03-02,1219.58,PRE_AUTHORIZED
PMT0000293,CTR000016,2026-04-04,1219.58,PRE_AUTHORIZED
PMT0000294,CTR000017,2023-02-07,958.45,PRE_AUTHORIZED
PMT0000295,CTR000017,2023-03-02,958.45,ONLINE_BANKING
PMT0000296,CTR000017,2023-04-02,958.45,PRE_AUTHORIZED
PMT0000297,CTR000017,2023-05-03,958.45,CHEQUE
PMT0000298,CTR000017,2023-06-01,958.45,PRE_AUTHORIZED
PMT0000299,CTR000017,2023-07-02,958.45,ONLINE_BANKING
PMT0000300,CTR000017,2023-08-01,958.45,PRE_AUTHORIZED
PMT0000301,CTR000017,2023-09-05,958.45,ONLINE_BANKING
PMT0000302,CTR000017,2023-10-04,958.45,PRE_AUTHORIZED
PMT0000303,CTR000017,2023-11-01,958.45,ONLINE_BANKING
PMT0000304,CTR000017,2023-12-01,958.45,PRE_AUTHORIZED
PMT0000305,CTR000017,2024-01-05,958.45,ONLINE_BANKING
PMT0000306,CTR000017,2024-02-01,958.45,PRE_AUTHORIZED
PMT0000307,CTR000017,2024-03-04,958.45,CHEQUE
PMT0000308,CTR000017,2024-04-03,958.45,PRE_AUTHORIZED
PMT0000309,CTR000017,2024-05-05,958.45,PRE_AUTHORIZED
PMT0000310,CTR000017,2024-06-03,958.45,PRE_AUTHORIZED
PMT0000311,CTR000017,2024-07-02,958.45,CHEQUE
PMT0000312,CTR000017,2024-08-05,958.45,ONLINE_BANKING
PMT0000313,CTR000017,2024-09-06,958.45,PRE_AUTHORIZED
PMT0000314,CTR000017,2024-10-02,958.45,CHEQUE
PMT0000315,CTR000017,2024-11-01,958.45,ONLINE_BANKING
PMT0000316,CTR000017,2024-12-05,958.45,ONLINE_BANKING
PMT0000317,CTR000017,2025-01-01,958.45,CHEQUE
PMT0000318,CTR000018,2025-08-09,235.91,CHEQUE
PMT0000319,CTR000018,2025-09-01,235.91,CHEQUE
PMT0000320,CTR000018,2025-10-06,235.91,ONLINE_BANKING
PMT0000321,CTR000018,2025-11-04,235.91,ONLINE_BANKING
PMT0000322,CTR000018,2025-12-02,235.91,CHEQUE
PMT0000323,CTR000018,2026-01-05,235.91,PRE_AUTHORIZED
PMT0000324,CTR000018,2026-02-03,235.91,PRE_AUTHORIZED
PMT0000325,CTR000018,2026-03-05,235.91,CHEQUE
PMT0000326,CTR000018,2026-04-01,235.91,PRE_AUTHORIZED
PMT0000327,CTR000018,2026-05-04,235.91,PRE_AUTHORIZED
PMT0000328,CTR000019,2023-05-01,1098.51,PRE_AUTHORIZED
PMT0000329,CTR000019,2023-05-04,1098.51,PRE_AUTHORIZED
PMT0000330,CTR000019,2023-06-01,1098.51,ONLINE_BANKING
PMT0000331,CTR000019,2023-07-06,1098.51,PRE_AUTHORIZED
PMT0000332,CTR000019,2023-08-01,1098.51,ONLINE_BANKING
PMT0000333,CTR000019,2023-09-04,1098.51,PRE_AUTHORIZED
PMT0000334,CTR000019,2023-10-06,1098.51,ONLINE_BANKING
PMT0000335,CTR000019,2023-11-04,1098.51,CHEQUE
PMT0000336,CTR000019,2023-12-03,1098.51,ONLINE_BANKING
PMT0000337,CTR000019,2024-01-02,1098.51,ONLINE_BANKING
PMT0000338,CTR000019,2024-02-05,1098.51,ONLINE_BANKING
PMT0000339,CTR000019,2024-03-05,1098.51,PRE_AUTHORIZED
PMT0000340,CTR000019,2024-04-02,1098.51,CHEQUE
PMT0000341,CTR000019,2024-05-02,1098.51,ONLINE_BANKING
PMT0000342,CTR000019,2024-06-01,1098.51,PRE_AUTHORIZED
PMT0000343,CTR000019,2024-07-03,1098.51,PRE_AUTHORIZED
PMT0000344,CTR000019,2024-08-02,1098.51,CHEQUE
PMT0000345,CTR000019,2024-09-01,1098.51,ONLINE_BANKING
PMT0000346,CTR000019,2024-10-01,1098.51,PRE_AUTHORIZED
PMT0000347,CTR000019,2024-11-06,1098.51,ONLINE_BANKING
PMT0000348,CTR000019,2024-12-02,1098.51,PRE_AUTHORIZED
PMT0000349,CTR000019,2025-01-06,1098.51,PRE_AUTHORIZED
PMT0000350,CTR000019,2025-02-05,1098.51,CHEQUE
PMT0000351,CTR000019,2025-03-01,1098.51,CHEQUE
PMT0000352,CTR000020,2023-08-31,387.14,ONLINE_BANKING
PMT0000353,CTR000020,2023-09-04,387.14,CHEQUE
PMT0000354,CTR000020,2023-10-04,387.14,PRE_AUTHORIZED
PMT0000355,CTR000020,2023-11-02,387.14,CHEQUE
PMT0000356,CTR000020,2023-12-01,387.14,CHEQUE
PMT0000357,CTR000020,2024-01-06,387.14,ONLINE_BANKING
PMT0000358,CTR000020,2024-02-03,387.14,PRE_AUTHORIZED
PMT0000359,CTR000020,2024-03-04,387.14,CHEQUE
PMT0000360,CTR000020,2024-04-05,387.14,CHEQUE
PMT0000361,CTR000020,2024-05-04,387.14,ONLINE_BANKING
PMT0000362,CTR000020,2024-06-01,387.14,ONLINE_BANKING
PMT0000363,CTR000020,2024-07-01,387.14,ONLINE_BANKING
PMT0000364,CTR000020,2024-08-04,387.14,PRE_AUTHORIZED
PMT0000365,CTR000020,2024-09-05,387.14,PRE_AUTHORIZED
PMT0000366,CTR000020,2024-10-01,387.14,ONLINE_BANKING
PMT0000367,CTR000020,2024-11-04,387.14,CHEQUE
PMT0000368,CTR000020,2024-12-06,387.14,PRE_AUTHORIZED
PMT0000369,CTR000020,2025-01-06,387.14,ONLINE_BANKING
PMT0000370,CTR000020,2025-02-02,387.14,PRE_AUTHORIZED
PMT0000371,CTR000020,2025-03-06,387.14,CHEQUE
PMT0000372,CTR000020,2025-04-03,387.14,CHEQUE
PMT0000373,CTR000020,2025-05-01,387.14,CHEQUE
PMT0000374,CTR000020,2025-06-05,387.14,PRE_AUTHORIZED
PMT0000375,CTR000020,2025-07-05,387.14,CHEQUE
PMT0000376,CTR000021,2025-07-30,332.56,ONLINE_BANKING
PMT0000377,CTR000021,2025-08-05,332.56,PRE_AUTHORIZED
PMT0000378,CTR000021,2025-09-05,332.56,CHEQUE
PMT0000379,CTR000021,2025-10-04,332.56,CHEQUE
PMT0000380,CTR000021,2025-11-03,332.56,CHEQUE
PMT0000381,CTR000021,2025-12-02,332.56,PRE_AUTHORIZED
PMT0000382,CTR000021,2026-01-01,332.56,ONLINE_BANKING
PMT0000383,CTR000021,2026-02-05,332.56,CHEQUE
PMT0000384,CTR000021,2026-03-06,332.56,CHEQUE
PMT0000385,CTR000021,2026-04-06,332.56,CHEQUE
PMT0000386,CTR000021,2026-05-03,332.56,CHEQUE
PMT0000387,CTR000022,2025-08-09,637.79,CHEQUE
PMT0000388,CTR000022,2025-09-06,637.79,PRE_AUTHORIZED
PMT0000389,CTR000022,2025-10-03,637.79,ONLINE_BANKING
PMT0000390,CTR000022,2025-11-05,637.79,CHEQUE
PMT0000391,CTR000022,2025-12-01,637.79,CHEQUE
PMT0000392,CTR000022,2026-01-01,637.79,ONLINE_BANKING
PMT0000393,CTR000022,2026-02-02,637.79,CHEQUE
PMT0000394,CTR000022,2026-03-04,637.79,ONLINE_BANKING
PMT0000395,CTR000022,2026-04-06,637.79,PRE_AUTHORIZED
PMT0000396,CTR000022,2026-05-04,637.79,ONLINE_BANKING
PMT0000397,CTR000023,2025-01-16,291.91,ONLINE_BANKING
PMT0000398,CTR000023,2025-02-05,291.91,ONLINE_BANKING
PMT0000399,CTR000023,2025-03-02,291.91,CHEQUE
PMT0000400,CTR000023,2025-04-04,291.91,CHEQUE
PMT0000401,CTR000023,2025-05-02,291.91,PRE_AUTHORIZED
