contract_number,application_id,customer_id,vin,dealer_code,contract_type,apr,term_months,amount_financed,residual_value,start_date,maturity_date
CTR000023,APP000035,C000050,2TGU5MTZY23UW0194,D0059,LOAN,9.64,72,20850,0,2025-01-11,2030-12-11
CTR000024,APP000037,C000056,2THD8WA4ZADTJ0304,D0019,LEASE,4.78,60,17683,6111.93,2024-09-09,2029-08-14
CTR000025,APP000038,C000183,2TN4FVRC7ZS140074,D0018,LEASE,7.17,60,20636,10090.94,2026-02-25,2031-01-30
CTR000026,APP000039,C000145,2TXJNTJ3NWWFW0348,D0028,LEASE,7.09,36,26357,8993.11,2024-09-28,2027-09-13
CTR000027,APP000041,C000158,2TS90JVD2J2A60155,D0059,LEASE,4.04,60,24213,8092.29,2025-05-27,2030-05-01
CTR000028,APP000042,C000028,2TGV7YDH9DPK80305,D0022,LOAN,9.08,48,57590,0,2023-04-26,2027-04-05
CTR000029,APP000043,C000240,2TNHEAKHGSPG70249,D0001,LOAN,8.07,36,62129,0,2024-09-23,2027-09-08
CTR000030,APP000044,C000077,2TMST5H4KBMKS0248,D0026,LOAN,4.11,60,22983,0,2025-03-19,2030-02-21
CTR000031,APP000045,C000075,2T80U21G634KB0052,D0043,LEASE,4.16,72,34007,14000.91,2024-02-21,2030-01-20
CTR000032,APP000046,C000078,2T5CZJ66UALZ90331,D0003,LOAN,6.12,60,53046,0,2026-03-07,2031-02-09
CTR000033,APP000047,C000168,2TY6JUW2E717M0181,D0010,LEASE,7.55,48,26435,8541.64,2025-03-24,2029-03-03
CTR000034,APP000049,C000237,2TTHCE50BMXG50032,D0005,LEASE,7.96,72,42528,19793.78,2025-03-04,2031-02-01
CTR000035,APP000050,C000113,2TRNL4NFBGPCJ0147,D0044,LOAN,7.95,60,47184,0,2024-02-28,2029-02-01
CTR000036,APP000051,C000088,2T8NP79ZZJE540350,D0012,LEASE,4.65,60,19716,6529.42,2026-03-13,2031-02-15
CTR000037,APP000053,C000239,2TW2DH7TBCY3T0257,D0040,LOAN,6.0,36,48931,0,2026-04-07,2029-03-22
CTR000038,APP000054,C000188,2TDS8ECZE3F7J0340,D0022,LEASE,8.79,60,68527,22902.74,2023-10-31,2028-10-04
CTR000039,APP000055,C000058,2T47WRBDBN1B70180,D0042,LOAN,9.9,60,48266,0,2023-08-11,2028-07-15
CTR000040,APP000056,C000141,2T5H0ZNY4DSRF0060,D0009,LOAN,7.03,48,42972,0,2023-10-01,2027-09-10
CTR000041,APP000057,C000004,2TDEDJ5MVCXZS0128,D0056,LEASE,3.48,48,67544,27768.3,2026-01-09,2029-12-19
CTR000042,APP000058,C000020,2TP8ZR5W0VSUX0129,D0005,LOAN,6.55,72,58030,0,2025-09-21,2031-08-21
CTR000043,APP000059,C000125,2TPJRWPH0KCS50041,D0018,LEASE,6.48,36,55754,23691.05,2025-04-29,2028-04-13
CTR000044,APP000061,C000014,2TCZBYTPBY44D0157,D0043,LOAN,4.95,72,49897,0,2024-01-21,2029-12-20
CTR000045,APP000063,C000069,2TAHWXTM56B5A0129,D0043,LEASE,9.16,72,38704,14917.77,2023-04-06,2029-03-05
CTR000046,APP000064,C000056,2TFUXE5MTUT8J0030,D0027,LOAN,5.98,72,51477,0,2025-09-30,2031-08-30
CTR000047,APP000066,C000020,2TH9ESPX03E4V0228,D0033,LOAN,7.68,36,22154,0,2026-05-30,2029-05-14
CTR000048,APP000067,C000230,2T7VBL0CVKBGP0192,D0042,LEASE,8.73,36,41747,18137.17,2025-01-17,2028-01-02
CTR000049,APP000068,C000097,2TCK1FER93HD70299,D0054,LEASE,8.38,36,29081,10967.33,2026-04-22,2029-04-06
CTR000050,APP000071,C000148,2TNM6ALH3T7GJ0324,D0032,LOAN,4.6,72,24725,0,2025-05-19,2031-04-18
CTR000051,APP000074,C000242,2TRW8YD94VX1X0050,D0050,LOAN,7.86,48,33304,0,2025-11-18,2029-10-28
CTR000052,APP000075,C000148,2TXGZVLHVU85R0316,D0057,LOAN,4.11,48,33235,0,2024-03-12,2028-02-20
CTR000053,APP000077,C000117,2TH548TFJUHZF0057,D0019,LOAN,5.97,36,69462,0,2025-07-17,2028-07-01
CTR000054,APP000078,C000071,2T9EXC4GXNCAS0323,D0030,LOAN,7.27,48,36976,0,2024-11-11,2028-10-21
CTR000055,APP000079,C000121,2TM8VJNFPA4E80249,D0010,LOAN,5.04,48,32385,0,2024-03-30,2028-03-09
CTR000056,APP000080,C000158,2TSZ7MWRV882Z0324,D0025,LEASE,3.49,36,32240,12053.5,2023-04-10,2026-03-25
CTR000057,APP000081,C000230,2T35XS4HM6XHZ0148,D0049,LEASE,4.32,72,72730,31891.4,2024-04-13,2030-03-13
CTR000058,APP000083,C000014,2TRYCW53RLPHY0249,D0018,LOAN,5.6,72,74792,0,2025-06-01,2031-05-01
CTR000059,APP000085,C000064,2TBG928CLVWBR0019,D0001,LOAN,3.78,72,63059,0,2025-05-15,2031-04-14
CTR000060,APP000087,C000006,2T6NGT71V4FR30141,D0020,LEASE,7.92,48,63724,22946.54,2024-11-04,2028-10-14
CTR000061,APP000088,C000005,2T0G5RB2R507G0202,D0032,LEASE,7.05,72,40061,17757.88,2026-01-13,2031-12-13
CTR000062,APP000089,C000054,2TSFK27RD8T3W0251,D0056,LEASE,8.53,72,26092,13117.34,2023-06-30,2029-05-29
CTR000063,APP000090,C000105,2TUP88XSX679F0003,D0056,LOAN,3.2,60,54238,0,2024-10-26,2029-09-30
CTR000064,APP000091,C000042,2TLN5HC48L8J30063,D0034,LEASE,7.34,60,15892,7221.46,2025-02-25,2030-01-30
CTR000065,APP000092,C000185,2TUX0LKVP0T760347,D0060,LOAN,5.41,48,34282,0,2023-09-18,2027-08-28
CTR000066,APP000093,C000122,2T3MK7EAWNNG60163,D0001,LEASE,3.01,36,69356,34460.48,2023-12-08,2026-11-22
CTR000067,APP000094,C000090,2TRZANUV4W02T0287,D0041,LOAN,4.22,36,19375,0,2025-08-25,2028-08-09
CTR000068,APP000095,C000046,2TGJ1YU7PLARP0289,D0017,LOAN,4.07,72,33349,0,2023-08-17,2029-07-16
CTR000069,APP000096,C000001,2TDJ9547XW9HS0040,D0021,LEASE,8.87,48,72318,24056.3,2023-10-31,2027-10-10
CTR000070,APP000097,C000134,2TFPLUK458TH40272,D0021,LEASE,6.12,72,69961,34160.96,2025-09-13,2031-08-13
CTR000071,APP000100,C000193,2TC0BKMJF3HD50054,D0035,LOAN,7.43,36,57437,0,2025-09-08,2028-08-23
CTR000072,APP000101,C000050,2TBYXL0A23DEN0315,D0042,LOAN,8.04,36,70874,0,2026-02-08,2029-01-23
CTR000073,APP000102,C000071,2T93MAWUZHY6F0102,D0039,LEASE,4.75,36,17916,6275.14,2023-07-06,2026-06-20
CTR000074,APP000103,C000048,2TBLAP06FSWNJ0303,D0021,LEASE,6.46,60,20663,10407.78,2023-07-17,2028-06-20
CTR000075,APP000104,C000145,2TRNUNMVT5TF80212,D0021,LEASE,4.77,72,24202,11376.61,2024-08-21,2030-07-21
CTR000076,APP000105,C000116,2TLC1KP4ZVPY90324,D0054,LEASE,9.85,36,49278,25974.84,2025-01-02,2027-12-18
CTR000077,APP000106,C000067,2TM7J6X01CXGZ0060,D0003,LOAN,5.68,36,45650,0,2024-03-25,2027-03-10
CTR000078,APP000107,C000232,2TZWL6MB564270096,D0007,LOAN,7.49,48,57459,0,2025-09-14,2029-08-24
CTR000079,APP000108,C000103,2TR9G34U2BL9L0021,D0020,LEASE,5.71,72,59469,18693.07,2026-05-23,2032-04-21
CTR000080,APP000110,C000061,2T4FSK0A7LZG70105,D0055,LEASE,4.5,60,27097,13739.34,2024-09-24,2029-08-29
CTR000081,APP000111,C000119,2TG1JXJ2XV42E0125,D0046,LEASE,6.87,72,69483,28729.54,2025-09-14,2031-08-14
CTR000082,APP000113,C000047,2TVW17CT3ML2G0078,D0028,LEASE,3.71,60,57863,18685.34,2023-07-19,2028-06-22
CTR000083,APP000114,C000206,2TLXJ916A824D0007,D0052,LEASE,6.89,60,41507,16396.89,2023-08-03,2028-07-07
CTR000084,APP000115,C000233,2T07Y0HM41FKA0258,D0029,LEASE,7.4,48,67587,35184.73,2023-09-15,2027-08-25
CTR000085,APP000116,C000187,2T4D6VCH860D00233,D0056,LEASE,4.99,60,55273,20166.01,2024-02-29,2029-02-02
CTR000086,APP000117,C000139,2TVZ3B5XWCHZC0092,D0018,LEASE,5.27,72,16542,6817.19,2024-09-13,2030-08-13
CTR000087,APP000118,C000187,2T84UZ6S6CEX00325,D0010,LOAN,7.92,36,23261,0,2023-07-09,2026-06-23
CTR000088,APP000119,C000021,2TW42BMTF4HNT0327,D0022,LEASE,9.78,48,62539,27404.57,2025-03-07,2029-02-14
CTR000089,APP000121,C000107,2TUU6XGRRBXRE0067,D0043,LEASE,9.26,72,66252,32132.85,2025-04-22,2031-03-22
CTR000090,APP000122,C000085,2T7AYYXZ5K68P0200,D0035,LOAN,4.53,60,54009,0,2026-05-05,2031-04-09
CTR000091,APP000123,C000219,2T8ZFP0WVX56B0041,D0037,LOAN,4.02,60,58299,0,2024-06-15,2029-05-20
CTR000092,APP000124,C000196,2T8S1J1HG2PPH0146,D0002,LEASE,7.54,60,42223,21992.23,2025-01-09,2029-12-14
CTR000093,APP000125,C000193,2TUX0GX92R2860215,D0014,LEASE,7.9,36,38070,15571.76,2025-04-08,2028-03-23
CTR000094,APP000126,C000137,2T6MG1333NBRJ0172,D0054,LOAN,8.06,72,15218,0,2024-01-02,2029-12-01
CTR000095,APP000127,C000043,2T7F0B19NL60S0321,D0037,LOAN,3.59,48,31380,0,2023-02-23,2027-02-02
CTR000096,APP000128,C000229,2T66S5SM69HYL0106,D0002,LOAN,3.87,60,19247,0,2024-10-28,2029-10-02
CTR000097,APP000129,C000174,2T71E3THB57DV0267,D0027,LEASE,5.69,60,59697,26587.92,2023-01-24,2027-12-29
CTR000098,APP000130,C000162,2T4HGKTHL03YK0226,D0042,LOAN,3.02,60,48525,0,2025-01-23,2029-12-28
CTR000099,APP000131,C000178,2T8STYV5Y5TUC0235,D0005,LOAN,5.54,60,57076,0,2024-06-29,2029-06-03
CTR000100,APP000132,C000095,2TVWLW75VKJKV0186,D0037,LEASE,6.79,48,72682,34748.64,2024-08-27,2028-08-06
CTR000101,APP000136,C000190,2TSR6MCUUFNEJ0334,D0012,LEASE,8.68,48,67249,28936.67,2024-06-01,2028-05-11
CTR000102,APP000137,C000149,2TGDXEN7H5F7N0238,D0031,LOAN,6.63,36,64917,0,2024-04-15,2027-03-31
CTR000103,APP000138,C000003,2TH5N6AT3U8MY0221,D0038,LEASE,8.22,72,52311,17784.12,2026-05-28,2032-04-26
CTR000104,APP000139,C000064,2T9W5HM8AX9780141,D0022,LOAN,3.63,72,49877,0,2024-09-24,2030-08-24
CTR000105,APP000140,C000237,2TYMNGRPW9WX70227,D0056,LOAN,3.84,72,21197,0,2025-06-15,2031-05-15
CTR000106,APP000141,C000083,2T2LLLX73URT70099,D0011,LEASE,4.36,72,25131,9059.69,2024-03-16,2030-02-13
CTR000107,APP000142,C000213,2T5W423A2D3ZJ0162,D0048,LEASE,6.73,48,38195,12751.1,2024-10-09,2028-09-18
CTR000108,APP000143,C000066,2TBX41XNP95UG0192,D0019,LOAN,8.2,36,61967,0,2024-02-25,2027-02-09
CTR000109,APP000144,C000152,2T18SU1DGDYU00024,D0031,LEASE,9.88,60,62268,22419.56,2024-11-11,2029-10-16
CTR000110,APP000145,C000019,2TKKWNF5SXTVB0212,D0021,LOAN,3.12,48,64140,0,2025-08-28,2029-08-07
CTR000111,APP000147,C000205,2TD90B4C9X8VY0271,D0004,LOAN,4.02,72,46873,0,2025-06-02,2031-05-02
CTR000112,APP000148,C000200,2TL9F6NE4U65K0273,D0008,LEASE,8.9,60,51588,27479.3,2026-03-15,2031-02-17
CTR000113,APP000149,C000200,2TB2VA1BARX4K0222,D0045,LEASE,3.89,60,49584,23956.12,2026-03-29,2031-03-03
CTR000114,APP000150,C000052,2TZKNKPWMGBCJ0295,D0050,LEASE,4.36,72,58607,20257.97,2025-12-29,2031-11-28
CTR000115,APP000152,C000103,2T1HFM9HLPH8Z0106,D0013,LEASE,5.36,60,43740,17302.07,2025-03-10,2030-02-12
CTR000116,APP000155,C000054,2TV03L3MMKM0H0339,D0056,LOAN,3.5,60,67584,0,2023-03-28,2028-03-01
CTR000117,APP000156,C000096,2TXBBYB7CK3C10136,D0059,LOAN,6.96,36,55980,0,2024-02-25,2027-02-09
CTR000118,APP000157,C000024,2TH7635JAW77T0034,D0027,LOAN,5.78,60,29594,0,2023-02-16,2028-01-21
CTR000119,APP000159,C000187,2TY6UJX40KC1D0155,D0043,LOAN,6.85,60,27099,0,2024-06-09,2029-05-14
CTR000120,APP000160,C000204,2T2XA77ZN25P60083,D0016,LEASE,9.89,36,69747,30248.54,2023-11-07,2026-10-22
CTR000121,APP000161,C000197,2TYMTY86GYTE00173,D0033,LEASE,8.51,72,57956,26700.59,2023-09-10,2029-08-09
CTR000122,APP000162,C000250,2THVJZW54F9M20057,D0030,LOAN,8.7,72,29884,0,2026-02-06,2032-01-06
CTR000123,APP000163,C000091,2TKD0RL0LGLRK0308,D0034,LEASE,8.15,48,63797,27056.02,2023-02-10,2027-01-20
CTR000124,APP000165,C000042,2T2L32NSZERUJ0125,D0049,LEASE,5.27,48,68899,24574.29,2023-11-02,2027-10-12
CTR000125,APP000166,C000071,2TAHWG7R5WH6K0168,D0049,LOAN,4.87,60,59055,0,2024-03-05,2029-02-07
CTR000126,APP000168,C000222,2TUT9Y3TZFAG80144,D0050,LOAN,7.05,48,21893,0,2025-05-23,2029-05-02
CTR000127,APP000169,C000069,2T11CGGGHS0320250,D0007,LOAN,7.55,48,58622,0,2024-04-16,2028-03-26
CTR000128,APP000170,C000010,2T4BPMBYGV3B60322,D0026,LEASE,8.36,36,49259,24351.44,2025-08-14,2028-07-29
CTR000129,APP000172,C000026,2T2X8M1NT8ZY50047,D0059,LEASE,5.95,60,35043,11187.25,2024-04-19,2029-03-24
CTR000130,APP000173,C000149,2TVM2ENFF2TKY0260,D0020,LEASE,9.37,36,27438,11288.32,2024-11-07,2027-10-23
CTR000131,APP000174,C000209,2TFXR5CSKUB8R0151,D0057,LOAN,8.71,36,63253,0,2025-03-06,2028-02-19
CTR000132,APP000175,C000038,2TSB753N3M21T0152,D0001,LEASE,4.86,48,29153,12697.69,2025-06-24,2029-06-03
CTR000133,APP000176,C000082,2TEJXSJG97XGR0183,D0035,LEASE,7.27,60,30381,14849.12,2025-02-06,2030-01-11
CTR000134,APP000177,C000215,2T584ELB5DZ7K0236,D0004,LOAN,9.21,36,52634,0,2024-04-12,2027-03-28
CTR000135,APP000179,C000249,2TZHEE3LNSMMB0028,D0040,LEASE,6.72,36,15444,7367.54,2026-05-05,2029-04-19
CTR000136,APP000180,C000147,2T317JYMGWZM40199,D0045,LEASE,8.05,36,41447,22475.95,2024-11-18,2027-11-03
CTR000137,APP000181,C000059,2TFY5GTBDD0GL0332,D0023,LOAN,8.4,60,28146,0,2024-01-18,2028-12-22
CTR000138,APP000182,C000008,2T0EMN8MPZGK00291,D0052,LOAN,7.76,72,35071,0,2023-01-13,2028-12-12
CTR000139,APP000183,C000114,2TCHWVGZMLG8N0319,D0002,LOAN,8.63,48,68673,0,2025-11-09,2029-10-19
CTR000140,APP000185,C000024,2TX2NVXJ5NV420336,D0043,LEASE,5.05,48,49068,24184.34,2026-05-12,2030-04-21
CTR000141,APP000186,C000083,2T1W8VDCNFWMX0248,D0036,LOAN,5.9,60,21836,0,2025-10-15,2030-09-19
CTR000142,APP000188,C000053,2TAC1PHVASYM10328,D0037,LOAN,3.34,72,47458,0,2023-06-10,2029-05-09
CTR000143,APP000189,C000064,2TT4WPU3A331U0343,D0040,LOAN,3.19,60,54239,0,2023-04-15,2028-03-19
CTR000144,APP000190,C000102,2TJREHHL8EMXL0230,D0003,LEASE,6.9,36,60385,20213.86,2026-05-26,2029-05-10
CTR000145,APP000191,C000220,2TGH2NF8NJC770134,D0037,LOAN,3.31,36,33658,0,2024-08-23,2027-08-08
CTR000146,APP000193,C000236,2T6ND21KV9ERM0180,D0012,LOAN,4.88,36,31436,0,2023-11-15,2026-10-30
CTR000147,APP000195,C000098,2TD1HRCEB71V10289,D0001,LEASE,4.33,72,15386,6589.74,2023-08-05,2029-07-04
CTR000148,APP000196,C000163,2TK60RKVM1TL00246,D0030,LOAN,2.98,36,37619,0,2025-10-09,2028-09-23
CTR000149,APP000197,C000182,2TR2JZP2336550278,D0057,LEASE,7.44,48,41894,17269.33,2023-11-06,2027-10-16
CTR000150,APP000198,C000035,2TPSPNN0630WP0272,D0047,LEASE,4.22,72,41141,15888.17,2024-11-30,2030-10-30
CTR000151,APP000199,C000077,2T3DNPYL14M5B0320,D0058,LOAN,8.09,36,44643,0,2023-08-23,2026-08-07
CTR000152,APP000201,C000223,2TFXZNKPWE0X50170,D0004,LEASE,9.75,72,71508,24186.42,2023-02-26,2029-01-25
CTR000153,APP000202,C000144,2TL3H3L7USHK50078,D0011,LOAN,5.15,72,67581,0,2024-09-01,2030-08-01
CTR000154,APP000203,C000044,2T05M5B8ZYF0E0011,D0050,LOAN,3.47,48,46252,0,2025-02-27,2029-02-06
CTR000155,APP000207,C000242,2TN8VUF5FX9HB0134,D0023,LOAN,6.31,36,23673,0,2025-04-29,2028-04-13
CTR000156,APP000208,C000040,2TFEAAYEK6YGH0122,D0037,LOAN,3.03,48,19257,0,2023-06-09,2027-05-19
CTR000157,APP000210,C000152,2T5M9AFMNTKNH0032,D0056,LOAN,7.27,60,59312,0,2025-08-21,2030-07-26
CTR000158,APP000211,C000042,2TV39VP4TZSAT0326,D0026,LEASE,7.26,36,29923,12967.48,2024-10-24,2027-10-09
CTR000159,APP000212,C000232,2T4F5AFX0ETX50031,D0047,LEASE,6.04,36,37559,17280.4,2023-05-19,2026-05-03
CTR000160,APP000213,C000126,2TNRLCZ366X260280,D0021,LEASE,7.29,72,65031,28606.59,2025-02-08,2031-01-08
CTR000161,APP000214,C000108,2TX1K20A4MKMP0072,D0002,LOAN,4.06,48,40268,0,2023-10-29,2027-10-08
CTR000162,APP000215,C000051,2T2LWURN8844L0255,D0002,LEASE,9.47,48,37106,14973.82,2025-09-03,2029-08-13
CTR000163,APP000217,C000073,2TJ07EB503SPX0192,D0022,LOAN,3.83,60,49710,0,2023-09-11,2028-08-15
CTR000164,APP000218,C000204,2TJXRSS87BX9G0100,D0022,LEASE,9.15,48,52828,17187.98,2024-08-08,2028-07-18
CTR000165,APP000219,C000155,2TE51NUK0D7SR0137,D0058,LOAN,3.07,60,45322,0,2023-07-01,2028-06-04
CTR000166,APP000220,C000070,2TXNNHVDN9VS10249,D0021,LEASE,2.93,72,66359,33207.3,2025-09-27,2031-08-27
CTR000167,APP000221,C000076,2T3F06K51L5XG0015,D0002,LEASE,6.68,60,24441,11828.74,2024-09-06,2029-08-11
CTR000168,APP000222,C000073,2TJXBHDX70KX10301,D0011,LOAN,6.54,48,44709,0,2024-02-23,2028-02-02
CTR000169,APP000223,C000157,2TVXC9DJ8EEJK0018,D0054,LOAN,7.5,48,36404,0,2024-11-03,2028-10-13
CTR000170,APP000224,C000249,2TF3YE82D32KF0174,D0023,LOAN,6.37,72,38613,0,2024-05-12,2030-04-11
CTR000171,APP000225,C000067,2TDBDR7CCRRKJ0123,D0015,LEASE,3.23,36,71928,32118.3,2023-08-31,2026-08-15
CTR000172,APP000226,C000075,2T3ECNCPR8AZF0013,D0032,LEASE,9.45,36,65170,35481.43,2025-03-28,2028-03-12
CTR000173,APP000227,C000002,2TVU091LNTYNX0322,D0059,LEASE,4.43,60,50142,21292.91,2025-04-11,2030-03-16
CTR000174,APP000228,C000155,2T92PMHC1GPNW0344,D0042,LOAN,3.07,72,44199,0,2024-08-22,2030-07-22
CTR000175,APP000229,C000161,2TTP9BWAPMYP80291,D0015,LEASE,7.85,36,57456,19925.23,2025-01-24,2028-01-09
CTR000176,APP000232,C000191,2T7MAHFS6UUB70016,D0044,LOAN,3.09,60,56727,0,2024-03-07,2029-02-09
CTR000177,APP000233,C000097,2T8463MACEUV70020,D0002,LOAN,5.52,72,59434,0,2024-03-22,2030-02-19
CTR000178,APP000235,C000186,2TKXZ3M206ZVK0277,D0036,LEASE,8.95,36,39331,19881.51,2025-02-10,2028-01-26
CTR000179,APP000236,C000023,2TJYZ65LCY9KY0130,D0039,LOAN,8.87,48,43292,0,2025-04-22,2029-04-01
CTR000180,APP000239,C000078,2TGNBBBVHPMEE0108,D0053,LEASE,6.4,60,41615,15588.99,2024-09-27,2029-09-01
CTR000181,APP000241,C000221,2TG4Z8B1C8F7T0197,D0052,LOAN,4.92,60,46037,0,2023-03-13,2028-02-15
CTR000182,APP000242,C000087,2T7CXW5P3GAJB0310,D0016,LEASE,9.18,36,64089,27482.47,2023-07-27,2026-07-11
CTR000183,APP000243,C000145,2TDTH8M5VLCVY0275,D0025,LEASE,7.93,72,60687,26810.86,2024-01-22,2029-12-21
CTR000184,APP000244,C000064,2TM1CWMRY8R5H0199,D0001,LOAN,9.38,72,46866,0,2023-06-23,2029-05-22
CTR000185,APP000245,C000145,2T804B0G37CU40225,D0002,LEASE,5.56,60,54662,28153.48,2023-10-16,2028-09-19
CTR000186,APP000246,C000092,2T9SJHBLFMN500206,D0031,LEASE,5.93,36,58561,22661.18,2023-07-11,2026-06-25
CTR000187,APP000247,C000144,2TNKWJ2A0D9AH0119,D0003,LEASE,2.99,48,22592,8346.15,2024-01-27,2028-01-06
CTR000188,APP000248,C000036,2T7PN777PGM1E0125,D0021,LOAN,3.15,48,68179,0,2023-02-08,2027-01-18
CTR000189,APP000249,C000018,2TELS30RT3D4C0263,D0031,LEASE,9.16,60,64841,20797.66,2025-11-27,2030-11-01
CTR000190,APP000250,C000101,2TRJ793LSV8E40311,D0029,LOAN,4.97,48,39489,0,2024-02-14,2028-01-24
CTR000191,APP000251,C000199,2TC0U2U6YWXW70329,D0010,LEASE,4.97,36,73435,24912.35,2026-03-14,2029-02-26
CTR000192,APP000252,C000036,2TF8YETUUV9RX0173,D0031,LEASE,7.03,60,52616,27621.39,2026-05-22,2031-04-26
CTR000193,APP000254,C000225,2TSPYM80S27U60327,D0019,LEASE,6.22,72,62365,34152.91,2023-12-31,2029-11-29
CTR000194,APP000255,C000209,2TAENT86U93NU0202,D0036,LOAN,5.54,60,39678,0,2023-06-10,2028-05-14
CTR000195,APP000256,C000100,2TJMH0DCEUGUJ0062,D0021,LOAN,4.44,60,43650,0,2026-05-20,2031-04-24
CTR000196,APP000257,C000146,2THYUV4SRRUZS0006,D0004,LOAN,3.48,72,58273,0,2024-02-29,2030-01-28
CTR000197,APP000258,C000044,2TPBLFU8HGS3R0197,D0052,LOAN,5.1,60,29409,0,2026-04-26,2031-03-31
CTR000198,APP000260,C000070,2T84YXB8915P00345,D0014,LOAN,4.95,72,65138,0,2025-03-08,2031-02-05
CTR000199,APP000262,C000006,2TZ01B8454F4T0293,D0025,LEASE,9.21,72,67435,23367.01,2023-05-27,2029-04-25
CTR000200,APP000264,C000037,2TUMR3WLERFDM0224,D0055,LEASE,5.86,48,34212,14124.07,2024-06-15,2028-05-25
CTR000201,APP000266,C000209,2T9D2JLD7KJS00257,D0002,LEASE,7.71,60,48636,24727.0,2023-12-23,2028-11-26
CTR000202,APP000267,C000183,2TCE1JAV682260083,D0016,LEASE,3.37,60,22200,8590.17,2025-08-09,2030-07-14
CTR000203,APP000268,C000043,2TJCPE0WH311W0256,D0033,LEASE,2.93,72,41717,21640.4,2024-06-07,2030-05-07
CTR000204,APP000269,C000056,2TK5JW2SKBR5T0327,D0028,LEASE,4.97,48,16051,5980.07,2025-10-03,2029-09-12
CTR000205,APP000270,C000119,2TDSKGV0DZ6140213,D0009,LOAN,8.3,72,28414,0,2025-08-24,2031-07-24
CTR000206,APP000272,C000007,2TY6ZXV0DH5840207,D0029,LOAN,6.96,48,39331,0,2024-03-28,2028-03-07
CTR000207,APP000273,C000239,2TY5UKKNF1U2R0194,D0053,LOAN,7.75,36,25048,0,2026-03-23,2029-03-07
CTR000208,APP000276,C000077,2TDWTGKRRS6KG0208,D0032,LEASE,9.82,60,48347,20524.03,2024-07-19,2029-06-23
CTR000209,APP000277,C000021,2T7EXD424K37B0084,D0016,LEASE,9.07,60,34600,15571.18,2025-05-28,2030-05-02
CTR000210,APP000278,C000126,2TP24SVSLYLX10203,D0060,LOAN,9.76,36,72613,0,2024-09-26,2027-09-11
CTR000211,APP000280,C000085,2TFCANL28GUVE0020,D0007,LEASE,6.03,36,35300,14094.25,2023-04-02,2026-03-17
CTR000212,APP000281,C000041,2TG8RVC2YL75Z0264,D0042,LEASE,6.56,60,32038,13193.29,2025-08-12,2030-07-17
